"Respondent","att1_1","att1_2","att1_3","att1_4","att1_5","att1_6","att1_7","att1_8","att1_9","att1_10","att1_11","att1_12","att1_13","att1_14","att1_15","att1_16","att1_17","att1_18","att1_19","att1_20","att1_21","att1_22","none"
4057267,-2.783762965,0.4817127974,0.8151764109,-1.264154719,-2.678180949,-1.918964999,-4.664878381,-4.236296362,-4.515730279,1.764192063,3.934700753,0.7027974657,0.8466074454,1.950990233,-0.4656863815,1.520400881,2.06508276,0.2624513528,2.298577527,-0.5656461958,2.470685469,0.6592906584,-5.319461718
4057341,7.611938947,-0.6070367624,0.04984574778,-0.326982399,1.093176149,5.01521249,-2.685497205,1.031078297,2.580446675,-0.3883033771,-3.515278099,-0.3794874081,2.455531982,-0.7782898489,-0.6546838966,-0.7453381376,-0.7966991537,-0.1711158592,-0.3072790553,-2.357672934,0.6059056609,-1.452034032,2.616718887
4057620,2.694340708,4.080281861,2.788970381,0.1967199852,1.088447064,2.966768158,-0.4263764436,2.667339646,-0.7855915443,-0.1522811033,-1.784935031,-0.8260409517,2.417377283,0.08976328368,-0.3615063764,1.180134806,0.3377936789,-0.2112972631,1.370672365,-0.6753430119,0.6236514786,-0.006466998962,-1.557279723
4057634,-2.081244043,-4.119036109,-2.332356549,-3.569458056,-3.948403761,-2.970493362,-1.472434801,-6.589953205,-2.518644175,2.360332974,3.567747366,0.06812291232,-1.104837979,1.579235982,-0.667129093,0.4007599004,1.824555856,0.7864929088,0.3922604603,0.5940154206,1.750692289,1.064382466,-4.285908887
4058055,-2.742434503,0.5608117689,-2.0807894,-2.773505959,-3.214575161,1.302178271,-0.05558348601,-2.824767588,-2.946617736,1.150549686,3.285343755,-0.6247989507,-0.004377931858,1.929022879,0.2696713494,-0.2494328907,2.487129566,-0.4219373645,0.5955038056,-0.4028239878,0.7474885874,0.9589779152,-6.221180258
4058415,3.490465685,-1.975173823,-0.5111944479,-7.021115913,-5.772626282,0.8705938423,-2.352100963,0.2268420108,5.103569524,0.07089902436,0.3426650011,-1.095412724,1.437513726,2.282372516,2.394391359,-1.565821948,-1.787017687,0.6019602452,0.4642907376,-1.81029142,0.4493845729,0.8406829833,-1.946067545
4058751,3.345596475,-0.02495930044,-0.6116473036,-1.746737244,-1.199085673,3.580619883,-0.6815502434,1.143544822,1.718477919,0.0956301643,-1.302729743,-1.025896902,1.434691642,0.1652015176,0.3519223316,-0.6376629556,-0.3219890044,0.09592631664,0.02095931705,-1.017013559,0.3208298513,-0.1180919171,-1.108270258
4058933,0.03961616169,-3.297706808,-0.72588825,-5.267502806,-5.008960361,-2.657617082,-5.563736126,-6.910260427,-1.860400308,2.18378585,4.346035016,0.9994268917,0.3990524937,2.943078616,0.3217373573,0.04373504395,1.484653385,0.5637587654,1.151637954,-1.362596529,2.352271086,0.7857254572,-4.503659358
4059152,-3.785958468,-1.7164944,-1.328545527,0.02550998011,-2.057415984,-1.644231384,-1.115618708,-3.754217681,-3.543150274,1.874713347,2.718495245,-0.5213789965,-0.8548549218,0.4789058371,-1.118122937,1.270506247,1.692579105,0.6717263725,0.9852128264,1.124112146,2.021936816,0.8460415167,-3.913742095
4059167,-1.184728682,-2.294919897,2.03884474,-5.065758824,-4.83293145,-3.979791441,-4.655815938,-3.819168158,-0.4280213985,1.431463573,3.063717541,0.08881657881,0.4462651225,2.269483898,0.6325769502,1.31279511,-0.1338924727,1.17276838,2.074113601,0.2239398236,2.170201273,1.205681829,-2.72156339
4059261,-0.8864559601,-1.304857073,-1.5767114,-3.904512838,-5.683667667,-0.4564704147,1.96649372,-0.7125570901,2.451828451,0.7451824089,0.9886397437,-1.67876087,-0.8092881655,0.8494974876,1.063624906,-0.9966039667,-0.7406703922,0.5148060591,0.04783203327,0.09493850718,0.5986521715,1.864364565,-4.457535665
4059293,1.611023593,3.460450011,4.219773595,-1.989865335,-2.081239921,0.1448831024,-2.249578278,-1.627229103,-2.236983462,0.7818394849,1.023798143,0.2440251599,1.706552327,1.637152813,-0.1775356645,1.335006987,0.9944040047,-0.06742355396,2.057619869,-0.9746192474,1.018437822,0.9097994033,-4.960978838
4061777,-3.750858685,-5.344699455,-3.348780047,-8.039481625,-8.206168472,-3.026781445,-2.271400481,-3.745069818,2.024199937,1.667061934,4.597691117,-1.203921099,-1.087327098,3.11669078,2.360653268,-0.964044253,-0.1890319644,1.279080697,0.5265839443,0.3243475714,1.358075133,1.855337456,-4.76147062
4061809,-2.714646838,0.4271661071,-1.536616811,1.270783985,0.3662130742,0.5725399907,-1.784779533,-2.874755539,-4.989082819,1.697823738,2.019153367,-0.02715985444,0.21006735,0.404870528,-1.466354616,1.270019136,2.69272184,0.04460249696,0.900872148,0.08951586457,1.635939499,0.04370770924,-3.840357815
4061974,-4.554579885,-6.159956058,-3.830870372,-2.91943045,-2.531410869,-4.048422892,-3.931667706,-3.946197229,-1.444462187,1.659812164,3.17261607,-0.4785823565,-0.7949489784,0.8629946312,-0.2852225968,1.131376118,0.6342798608,1.595462229,0.9003481127,2.04344477,3.135741587,0.551192316,1.06931325
4061975,4.124994727,0.7402848372,4.784751035,-6.279667062,-5.683656479,-1.189346043,-3.307687856,-2.665867059,1.837198272,0.9021162261,1.209601239,0.2242117072,1.539814026,2.732448793,1.256347623,0.3135023573,-0.8691875685,0.3057090863,1.575343799,-2.110268458,0.7721130543,1.290498509,-4.964195444
4061980,1.819781459,1.00603629,0.5720387804,-2.143743662,-1.145461774,1.996713327,0.9318975777,1.188113604,1.191416115,0.150847521,-1.116391061,-1.333596222,1.09740928,0.4014771035,0.2962681597,0.2750359883,-0.1663175528,0.1935370353,0.4026456208,-0.337098913,0.2380237306,0.4946987625,-1.810753173
4061985,7.070584637,3.107251635,1.111111187,-0.7264137982,-0.9046700497,6.910022595,0.4940638726,3.453240496,3.348658519,-0.719221567,-3.48500582,-1.117639608,2.333231544,-0.4467329954,0.5527562328,-1.57182745,-1.038986059,-0.8517562916,-0.2610318921,-3.12484228,-0.6268462112,-0.3361264042,-1.786188473
4061991,0.8494156338,-0.1422749873,-2.777539664,5.658120583,2.746956829,5.135352945,-1.24402818,1.392247372,-1.498638652,0.4359832059,-1.995456972,-0.6661951586,0.7505029103,-2.697579736,-1.851489159,0.02340866298,0.7309414105,-0.07942432347,-0.2125040776,-0.8662736837,1.450011963,-1.396815412,0.9786520705
4061995,-4.838609839,-3.033949567,-3.859990695,-2.394167735,-3.778666516,-1.362465339,2.236103911,-3.584900643,-1.839731022,1.586911067,2.800354421,-1.428468057,-1.978718703,0.7299974296,-0.2035386936,0.1424247581,1.51626644,0.9377438234,-0.04544284532,1.827536394,1.223287548,1.67204595,-4.399916201
4062037,1.848530892,5.152516283,4.62658107,-0.6670776536,-1.824898165,2.632723979,-1.704373435,-0.2588856857,-2.228745827,0.4973914741,0.5479789238,0.1391135282,1.839095323,1.129804735,0.02939724055,1.050374709,0.9902502867,-0.6618834942,1.684189769,-1.816632574,0.5867258478,0.5437603595,-5.888910787
4062039,8.152218189,1.645522666,1.302292704,-3.579998704,-1.857349148,4.918917812,0.7721792729,4.650099178,6.089578676,-0.9996695575,-4.11647616,-1.733619516,2.618604009,0.1746368649,1.337614134,-1.474167311,-2.400208816,-0.07084643913,-0.0213985549,-2.540625085,-0.7802302994,0.09005059476,-0.04204340707
4062147,-3.536643639,0.1919497589,0.2384012637,-2.342635588,-1.465618229,-2.631377812,-1.652040574,-3.976777992,-4.713508151,1.586451138,3.110412684,-0.1897707831,0.2861563625,1.905702553,-0.7817141891,2.178602617,2.436248003,0.5172298296,1.763554141,1.437650061,1.880000084,0.9930938918,-4.031155308
4062172,2.754356351,-1.132404071,-2.138520922,-5.080236985,-5.363585777,4.067891549,1.332704503,4.665338476,7.323867038,-0.8767447425,-1.581397936,-2.654068429,0.8060993347,0.4461526757,2.9094307,-2.482347569,-2.762794305,0.3041164954,-0.4498290198,-1.24884142,-0.4350690904,0.9658491803,-1.351249521
4062173,-2.569174802,-1.069467847,-4.330326328,0.9052815507,-1.318803586,2.44729783,4.90497076,-0.7644153383,-1.197661981,1.024849595,0.03531357001,-1.971807181,-1.643557347,-1.149527823,-0.804980356,-0.6629230846,1.281078958,0.04315969727,-1.079108567,0.9580045283,0.3094255436,1.041195141,-3.92641521
4062530,8.209007368,2.374722259,1.273652115,1.640825978,3.809845203,6.477969897,-1.172195324,1.757493742,0.1841534035,-0.1060696346,-4.321221028,-0.2430541048,2.996812234,-0.9348428177,-1.419525965,0.09372311401,0.4342749861,-0.6201466354,-0.3791053389,-2.696990137,-0.007351379926,-1.704756821,0.8601373036
4062549,-3.740826111,-1.932219527,-2.108614622,-0.8843342161,1.428877279,-1.725526415,-4.090041769,-4.873916908,-6.278155049,2.093673159,3.411558153,0.5527213809,0.7505949362,1.676739462,-1.503231985,2.317113262,3.402172995,0.4573441316,1.220033709,0.767415293,2.538325442,-0.5864751353,-2.026992889
4068078,-2.155006261,-2.670975933,-3.662488951,3.147202544,-2.834783909,1.961366935,-3.13090284,-2.098621273,-0.8557188294,1.790721431,1.597796633,-0.242798206,-0.8577637198,-1.264722569,-0.4489966105,-1.107850755,0.4787750608,0.2906785208,0.1088309085,-1.552475209,2.115869317,0.07967295463,-3.745637582
4068123,0.3708054306,3.279445121,-0.5964574686,-1.941090749,-0.8311410926,5.0304422,-0.4514964481,4.314078908,0.5051036465,-0.6495313574,-0.408757907,-1.532751851,2.216860369,1.035030186,1.376065676,-0.2705341342,0.3286997361,-0.5546961293,0.858789474,-1.043301566,0.1459934766,-0.02917898982,-2.525542763
4068137,2.040922989,-2.660052037,0.4428087387,-5.331173735,-4.219887528,-1.815443849,-5.233667153,-4.581379144,0.1491300347,1.642638256,2.427633411,0.4274730372,1.189141406,2.660044353,0.381366632,0.1123836118,0.2991348577,0.634613562,1.185208581,-1.511521517,1.915712776,0.3295894746,-3.022680479
4068154,1.048716621,4.963839139,0.573569922,5.149426909,1.844099886,5.424121633,0.3045768666,1.748400512,-3.209603475,0.5084306043,-1.407427481,-0.6405441411,1.383579635,-1.571301784,-1.578867531,0.3886104339,1.627275924,-1.01010574,0.7204946973,-1.602729872,0.7120061686,-0.4078939361,-4.026690418
4068170,-2.307516429,-3.02420149,-0.8042187563,-5.087752032,-4.342438454,-3.801179391,-4.233956676,-6.403771926,-2.811337091,2.428354368,4.583975197,0.379901663,0.01581687328,3.05512433,0.06379632507,1.029707465,1.702893297,0.7565071454,1.47446234,0.06171585995,2.166013484,1.195428364,-4.828136491
4068193,4.931547763,1.070303514,0.823719963,6.266952818,3.803831036,3.671846616,-1.423322946,-1.229088077,-2.6297136,1.238265292,-3.137113771,0.2358300211,1.169472461,-2.434538114,-3.272116912,0.8675003443,0.9863072418,-0.1615685694,-0.07818176728,-1.764856833,1.346131051,-1.331904093,-0.5131536565
4068200,0.7579870928,2.269157181,-2.123296067,7.217007937,2.830911052,6.252417203,1.304294533,4.934355643,-0.332225761,-0.0466163259,-3.492003761,-1.702587263,0.7199747237,-3.498023106,-1.547756698,-0.3098922453,-0.07054822043,-0.3230667261,-0.1512614694,-0.7315166552,0.8406672753,-0.8207333645,-0.1521270677
4068201,-3.636408496,-2.356371562,0.1650997825,-3.128116088,-1.296231136,-4.11506431,-4.668430315,-6.447986356,-5.628345512,2.26029903,4.411130868,0.8004754227,0.3717106305,2.443344038,-0.9858844682,2.555396731,2.799619887,0.9849218821,1.783857784,1.333956441,2.778147084,0.4316282293,-3.258789599
4068202,3.158160932,2.283873968,0.09907070373,-0.381412111,-1.156615312,5.646329924,4.110060588,1.277014578,0.8641987686,-0.06756163617,-2.080213534,-1.538632799,0.3172424587,-0.6542762623,-0.08493786918,-0.6988651679,0.430257744,-0.6681167955,-0.8878586685,-1.121421831,-0.9687954257,0.4924753014,-3.966272901
4068206,6.752533513,1.899757823,0.6907278526,3.744595478,1.639617595,6.220111181,-0.8913431843,0.6513067555,0.2557334311,0.4345690315,-3.496906497,-0.2988256836,1.673086086,-1.799051824,-1.7262072,-0.6719654241,0.2201500519,-0.5660997963,-0.5112059309,-3.008552506,0.2446666369,-1.057103608,-1.276215853
4068219,3.028425679,2.490373686,-0.06433186798,-1.785494307,-2.304657968,3.53464379,6.39724039,0.7094482264,1.452070493,0.1052633712,-2.124686812,-2.079310311,-0.1936299742,-0.1606245033,-0.1012393814,-0.9863185429,0.05338880215,-0.3497661567,-0.8405684217,-0.3935185821,-1.288121102,1.547894958,-4.977797988
4068228,-1.63615078,2.681434618,1.055163785,-2.35480044,-2.58480631,-0.6825229091,4.499985779,-0.8642248411,-1.749822232,0.8254741008,0.6158979307,-1.5890314,-0.2351109338,0.8227978159,-0.1830082467,0.9746489779,1.076992448,0.129554079,1.042763258,1.267397122,0.1433151215,2.068553273,-5.877210151
4068241,-1.435193675,1.239324896,-0.1049792258,-3.006893009,-3.326047095,0.50520135,3.263457075,-2.260618019,-1.691108612,1.044841751,1.596443275,-1.185090106,-0.5164609048,1.304447466,0.1461061067,0.2820988483,1.587101784,-0.0554859615,0.2500295946,0.3959035003,-0.01630671318,1.708136963,-6.443117482
4068253,7.112730907,3.843395996,-0.1981201114,1.211680084,1.461480963,9.795246243,1.348414901,6.540107071,3.539836103,-1.418191022,-5.015831404,-1.723338726,2.905847653,-1.546570821,0.5596766313,-1.745334747,-1.054807426,-1.120838681,-0.8299812276,-3.129937951,-0.926247675,-1.161073373,0.04423707686
4068266,-2.118087376,-0.8232288826,-3.829922766,1.376954774,-1.302156269,2.352155532,4.825636102,-0.1484712863,-0.6169238135,0.779037379,-0.5527059233,-1.97658485,-1.469308229,-1.431548289,-0.7147806751,-0.5909622298,0.8271284934,0.1458187183,-1.00661603,0.784364178,0.2986004777,1.020201298,-3.417011995
4068285,3.185034314,-2.983789399,-1.049685788,0.4380559311,-3.39669637,0.4408905514,-1.592177001,-1.437928959,3.185834872,1.335662359,-1.110227091,-0.7199637182,-0.3065785513,-0.9563810751,-0.5334759818,-1.075541251,-1.660519888,0.9133082504,-0.1088088177,-1.558088526,1.325363877,0.5462911255,-1.799677081
4068289,4.99535024,5.3663737,1.627991061,1.219248889,0.8850512574,6.829956445,0.4110129022,3.113121736,-0.08623801995,-0.4545397709,-2.611531507,-0.7176164022,2.621089085,-0.3333370444,-0.3051937924,-0.3895824567,0.5455266989,-1.205678344,0.4240278475,-2.573193384,-0.2251211631,-0.4542006275,-3.160024321
4068294,4.868168822,1.728933898,-0.1848667194,-1.305814527,-0.826443542,4.265369326,5.301056595,0.8978089533,1.842305264,0.02245534227,-2.966441306,-1.78707957,0.4537592901,-0.5470845889,-0.4942752223,-0.8074337405,0.05273049737,-0.3711960895,-1.039319175,-0.8001857518,-1.034703081,0.7268142275,-3.083085903
4068304,-0.2284270242,-1.237282334,-1.80927419,-0.6738613362,-1.562082671,-0.2576849497,2.751944724,-2.559655121,-1.082519487,1.45019164,0.03442373248,-1.128229988,-0.7382580362,-0.1008120218,-1.185124726,0.1997477001,0.8562943351,0.4398031745,-0.235097914,0.6537423383,0.6422308649,1.230841456,-3.526366881
4068311,7.099285518,4.154823431,1.91846856,0.3816624943,0.5138563131,6.905795751,0.06020025088,1.853421518,0.8463358159,-0.2939581329,-3.045963521,-0.4426472319,2.545822428,-0.4226989531,-0.3945654403,-0.7450008956,0.2094513796,-1.158701367,-0.1423429705,-3.250566256,-0.4717663128,-0.6638359066,-2.701736481
4068314,-3.545117352,-0.8853855101,-1.571920931,0.4487670052,-2.024527278,-1.577553034,-3.812521425,-4.138273186,-4.394576843,2.217635746,3.463858066,0.357960337,0.2010606898,0.8904390284,-0.8632988801,0.8068248071,2.020669395,0.439469604,1.47875083,-0.2056938998,2.539293046,0.5114303973,-4.695435609
4068320,-0.05351369089,-0.8367928801,-1.268037803,-3.10382785,-3.296493996,1.168536943,-1.864829829,-2.065107626,-0.4901946072,1.232401833,1.787370489,-0.4810161188,0.3626969661,1.34777149,0.6807541841,-0.3536185064,0.9676823878,0.001475345337,0.2675460138,-1.071075557,1.083070547,0.4265409612,-4.247405844
4068322,-3.316189708,2.080286099,-0.1675136185,-2.355278443,-1.660861321,-0.9588721339,2.485072994,-2.887720077,-4.420924583,1.373360202,2.392777434,-1.010975507,-0.4140243242,1.869652696,-0.6060429191,1.758067456,2.672900001,-0.0740153982,0.9573910673,1.122029091,0.571705322,1.596684164,-6.281353827
4068326,-0.09250519079,-4.300239877,-3.074054652,-1.476886071,1.01979814,0.1661574359,-3.39322755,0.07582136376,0.558154165,0.08398918575,-0.5359304681,-0.8997226076,1.149891175,-0.198640512,-0.4787442357,0.882786111,-0.1672498913,1.120797591,0.4261922666,1.105583873,2.217066696,-0.9859044149,5.190460688
4068330,-3.190286063,0.9472051482,-1.010197707,-2.238170969,-1.618551219,0.236745432,-3.081984258,-2.17653253,-4.064048839,1.39410049,3.392461822,-0.1748961831,1.008894498,2.137960487,0.2928775928,0.9641326898,2.36648323,-0.1836227781,1.621543119,-0.3484163067,1.673150585,0.4367154224,-4.911670672
4068333,-1.058557294,1.710131037,-2.29825494,0.2354922131,1.765519991,2.513595376,6.726902828,4.455166449,0.3971718425,-0.3558690238,-2.927665268,-3.212117303,0.09461728138,-1.158723456,-0.4711139951,0.6874846948,0.3747045532,0.2739006362,-0.2596791329,2.287270909,-0.393746349,0.8248431999,-0.5459157412
4068335,-0.658799511,-1.711463773,0.3785982567,-2.969069964,-3.75462849,-1.254095193,-4.422104312,-5.580987753,-2.781728504,2.225050144,3.603689021,0.708840519,0.1916729255,2.069887777,-0.2198024801,0.6562968113,1.582836459,0.4524426985,1.16983179,-1.035840857,1.82800522,0.5338617157,-5.102592612
4068340,-3.300916825,-0.5222995338,1.852636227,-1.135967672,-1.214259225,-4.105919911,-3.938362249,-5.692588176,-5.798939372,2.296513383,3.661790594,0.738444294,0.3273626822,1.677485365,-1.489167907,2.848879267,2.413286826,0.9178851034,2.282986748,1.143561939,2.632509128,0.6371379516,-4.005393602
4068360,4.60235281,5.215634313,2.799454956,0.2430494361,-0.4813479467,5.662052869,-0.5548909672,1.588548405,-0.5870231174,-0.09521338528,-1.462312391,-0.3566329047,2.441924331,0.1452238278,-0.06099692601,-0.2138322397,0.6888641939,-1.087337943,0.6967657836,-2.806041686,-0.01557878169,-0.2347112575,-4.432764469
4068364,4.903236577,3.315682554,-1.285689921,0.7248925777,1.439574511,8.474266657,4.529266875,6.814330388,3.339418765,-1.349545253,-4.797716882,-2.584617445,1.787903138,-1.804687402,0.3666513365,-1.402299363,-0.7497323422,-0.7827531867,-0.9886480074,-1.20531115,-1.229703045,-0.5041599989,0.004325118977
4068367,1.348943898,0.7034209991,-3.157121018,-0.2172652266,1.851773577,6.290957985,0.7350006316,8.183890754,3.712818521,-1.71792032,-3.727812704,-2.647415157,2.304812978,-1.351032378,1.213547304,-0.5439300829,-1.318545294,0.04754940862,-0.0943570183,0.07504397691,0.3096728769,-1.112289539,4.17354338
4068369,-1.824581852,-4.193692588,-2.57187376,-6.964790952,-6.637865864,-2.905115346,-0.750741615,-5.131078636,0.5337039321,1.837951045,3.670949507,-0.85922933,-1.091643998,2.762009632,1.140373899,-0.5667978673,0.5737389315,0.8609203154,0.1933434875,0.2489015942,1.027047449,1.947575242,-5.238429688
4068372,-1.702647324,-3.314880164,-1.560017371,-5.035798174,-6.783515859,-1.162089759,-3.869084467,-3.250717435,1.223486651,1.533533682,3.573893374,-0.3208282952,-0.1782638467,2.072492091,1.498927382,-0.8792202899,-0.2389261333,0.6721665339,0.8897273568,-1.077023889,1.820523329,1.081473811,-4.532109728
4068387,0.2892115182,5.079573451,1.610963544,4.8004406,5.238641846,2.588326181,0.02503692945,0.5080752884,-6.147764186,0.7820514464,-1.531287401,-0.2152243728,2.002299836,-0.9067110467,-2.83632899,2.609116765,2.704660822,-0.6558358894,1.488099618,0.1823156337,1.226834798,-0.6494299418,-1.76057073
4068394,-2.234963096,-3.71628078,-2.944997389,-0.1874021389,-3.348137712,-1.009533461,-4.317002519,-6.139308445,-3.142579155,2.646331761,3.566070153,0.6673527428,-0.9133960783,0.7548152852,-0.9069818874,-0.2203283381,1.798359387,0.6063199059,0.3773032691,-0.9570787444,2.378267746,0.3572625481,-4.648520003
4068398,-0.3040563953,1.087517529,-1.954520668,7.934252111,5.282493684,3.426258172,-0.8430933587,-1.07500072,-5.631638256,1.401878771,-1.635179242,-0.0779150786,0.5787546373,-2.741046858,-3.726418745,1.478803334,2.669645276,-0.2031859552,0.2218528115,-0.0763217076,1.911659295,-1.382009869,-0.429682136
4068416,-4.573811234,-1.995716,0.4692067728,-4.945232011,-4.944741516,-5.046287928,-5.823334153,-7.012773677,-4.607850865,2.43065835,6.142056927,0.9301405892,0.1399859222,3.476650906,0.2014756272,1.712101328,2.233580122,0.710234471,2.414893963,0.2443479466,2.956311699,1.208690559,-5.914251385
4068434,3.431038368,-1.350386629,-2.167569173,-0.9040359675,-0.7394883469,4.874124171,-2.669025481,-0.3465435649,0.9163402848,0.3432298155,-0.6454566399,-0.3826335255,1.355680523,0.0907865932,0.01841761387,-1.144642011,0.3750818611,-0.2624000074,-0.3296472206,-2.143684057,0.6737335934,-1.085611872,-0.5897331179
4068436,-1.921316414,-0.8701179518,-1.813259872,2.292862943,0.2452509694,0.7264245599,-4.2973235,-1.923342641,-3.311825313,1.478114424,1.517724633,0.04856248233,0.8286946979,-0.2961395996,-1.241366456,0.8117941522,1.4281262,0.2311015575,1.258016143,-0.6075539285,2.608348709,-0.5302859112,-1.816152483
4068463,-2.106110383,1.252907132,-2.334541351,7.057153214,3.028410466,2.109696098,4.736376665,-0.3123688399,-4.052173416,1.33986981,-1.829390818,-1.508362567,-1.180642412,-3.113046832,-3.233497479,1.187715836,1.980703839,0.18938193,-0.428716642,1.281064283,1.00052572,0.2696280867,-2.489987538
4068507,2.565230513,5.220144912,0.2739877309,1.262244464,0.5061739151,7.262835354,1.270411798,4.410521113,0.007796274915,-0.5605089623,-2.114970042,-1.43535904,2.16138345,-0.4974041646,0.306030333,-0.7081801879,0.6231746272,-1.240075654,0.3900679787,-2.123221878,-0.3466368273,-0.3103205998,-3.380882965
4068526,-5.023589391,-2.90430483,-3.171574589,-4.378766869,-4.804216708,-2.734182925,1.358102947,-4.207952977,-1.782610116,1.626868088,3.853815248,-1.16948305,-1.589602685,1.755576605,0.2962841213,0.3462983588,1.452158431,0.6963964609,0.4716099203,1.966843784,1.127102322,1.961059531,-5.023107003
4068546,1.974563259,4.81666695,1.811298736,-2.363368289,-2.585134303,3.74203568,-0.3236710791,1.033562507,-0.6744653567,0.05998475172,0.3848043521,-0.645324991,1.975944864,1.461478196,1.02375117,-0.402322206,0.7586529623,-0.8666858015,1.162886077,-2.04449039,0.1367266752,0.7783586231,-6.091913296
4068557,6.86795018,3.596584203,-0.1580723749,1.666162283,1.520325314,9.203278754,1.152645351,5.861516369,3.179790375,-1.264455253,-4.873513981,-1.621996409,2.597029217,-1.660762554,0.1270472599,-1.563768215,-0.8345011463,-1.081856534,-0.7269604923,-2.801258449,-0.822518812,-1.200708785,0.1367783014
4068559,9.04478835,4.933945985,3.231441596,-0.001670043636,0.9356234456,6.99955962,0.4102536014,2.934631734,1.854848987,-0.5870971205,-4.215452241,-0.6713912047,3.083455563,-0.2667501398,-0.3102468788,-0.5948805687,-0.279049085,-1.080304867,0.08178161587,-3.420920276,-0.8169162713,-0.6259489258,-2.1573542
4068562,4.076865068,0.3030277088,2.146181496,-4.292285736,-4.084090111,1.160876027,-1.602001788,-1.88675134,1.509313435,0.7927555385,0.2535616844,-0.3161277271,1.140570723,1.634806804,0.7050767043,-0.3575177372,-0.3027566146,0.08751907079,0.6249035161,-1.782002186,0.3388929669,0.9306953427,-4.18678152
4068569,0.8420865644,2.867342863,0.3616854688,-0.1302326986,-0.7802145935,4.836673889,-1.520822999,1.424509895,-1.238626884,0.1581439544,0.07854068784,-0.4154236318,1.773625662,0.4319853761,0.4011862997,-0.04494412345,1.022249152,-0.6986049325,0.7507170314,-1.698307825,0.5183566841,-0.1832909864,-3.801836561
4068580,0.7775623665,-1.668788015,-3.45553866,-3.367780048,-4.166650014,4.60015469,-0.7802825989,0.9478078559,2.948141724,0.2556678465,0.6615616895,-1.407202133,0.3472046703,0.6332612576,1.83368579,-2.09979983,-0.3739422307,-0.2110852964,-0.6196067414,-1.855946581,0.2324533989,0.2301376619,-2.952118069
