Respondent	Fit (RLH)	Level 1	Level 2	Level 3	Level 4	Level 5	Level 6	Level 7	Level 8	Level 9	Level 10	Level 11	Level 12	Level 13	Level 14	Level 15	Level 16	Level 17	Level 18	Level 19	Level 20	Level 21	Level 22	Level 23	NONE	0,47088844																								
4057267	0,4509202	-3,297376911	0,149711343	0,816523977	-0,671239814	-3,230422186	-2,888545368	-5,51606541	-4,973205921	-5,238914742	0,411894002	5,45451597	0,591270914	0,776349799	2,618160613	0,291714798	1,397775989	3,694682704	-0,63059425	4,234489352	-1,443663101	3,253263525	1,788437508	2,411237208	-8,25135268	0,990687547	-2,870552605	0,536685145	1,091475313	-0,782184239	-3,373907964	-2,321621344	-4,675240954	-3,996252611	-4,267636021	0,798289925	4,880247051	0,639620433	1,090319647	2,595862808	0,358992022	1,64394766	3,431068133	0,348819218	3,791681812	-0,982789375	3,868324625	0,824161063	2,451841219	-5,081150958
4057341	0,750789257	9,551119847	-0,138227186	1,592002613	1,809095632	0,961038483	6,939018707	-3,760798575	2,550585125	3,352879241	-1,782646829	-7,019256191	-1,784725248	0,249484307	1,855829531	-0,427588664	-3,11868589	-1,694726454	-2,455095692	0,142409453	1,292002789	-2,770988689	-0,784175864	-4,558550448	4,603332826	0,861144727	8,701127526	0,142797518	1,642135023	-1,108594907	0,125620609	6,176808458	-1,686287802	1,232008178	2,110745623	-1,536717938	-1,937279658	-1,218713232	0,250296738	1,581999558	-4,764081476	-1,526483639	-3,490224596	-1,095368579	-0,731668168	-0,0034324	-1,955324859	-0,823518096	-3,487457489	3,401613608
4057620	0,233472218	2,664624169	4,026898795	3,009927005	-0,56464096	1,592954191	3,178118915	-1,851486738	2,735942541	-1,607100952	-2,05302847	-4,635121627	-0,035068664	-1,341630543	0,423274784	-1,986174195	0,232648171	1,5623317	-2,867424918	1,078895979	-0,583115162	-1,952651115	0,092479585	-1,120652493	-6,411467654	0,930357122	3,00137367	4,535567846	3,412882486	-0,251729843	2,038345082	3,519199875	-1,360330361	2,965661694	-1,125610974	-2,272124895	-2,287966582	-0,636416255	-0,627198734	0,613844271	-3,168414029	0,346648436	0,486550909	-1,993562125	-0,153796902	-1,349333484	-1,906558281	-0,713656126	-2,070894822	-1,002480853
4057634	0,540030008	-1,566100206	-4,079125444	-2,662704057	-4,012384339	-5,560955617	-3,658415214	-0,863258669	-5,848381235	-2,334484732	3,754652685	5,988434311	0,356685161	0,773472631	2,159264284	0,862380832	1,935661112	1,871709132	0,341678198	1,916854779	1,844335515	5,088803559	0,360200531	3,331676783	-9,887077107	0,987863929	-1,175446099	-3,352240091	-2,680128432	-4,17858458	-6,126029283	-3,158260707	-0,787868549	-5,1083692	-2,074568333	4,359964414	5,217630697	0,283200396	0,217310729	2,360205526	1,226542057	1,452744763	2,421949899	0,78408077	2,678729899	2,713646434	4,708986785	1,305296473	3,851669512	-4,940463079
4058055	0,534249657	-3,42254489	1,52165232	-2,398872883	-1,157816179	-3,435031193	1,721514476	0,782382474	-2,069082593	-3,700081731	-0,09414915	3,210727989	0,641710254	-1,863069242	-0,020335944	-0,239755025	0,888325738	4,50185826	-1,77581227	1,314334064	-0,538123182	0,624790768	1,710609285	3,796768653	-10,62990723	0,973691607	-2,284777853	1,733215025	-2,12271205	-1,591699787	-2,867623029	1,939737245	0,838597588	-1,667239865	-2,892570979	0,098800423	2,793587804	0,072836036	-1,043848873	1,017410821	0,907091778	0,807741788	4,623294281	-1,304043327	0,575572587	0,075480975	1,038861409	1,180512545	3,462456187	-5,390680729
4058415	0,754757304	4,319936819	-1,977070438	-1,556875361	-3,276997355	-5,001334798	1,218022266	-3,094955964	0,0861823	6,801762891	0,887055927	-0,783013458	-2,026438094	4,015043777	2,17959769	2,169479894	-1,361551226	-1,931557266	-1,335977781	0,899197551	1,855600525	0,50882226	-0,780454247	-1,814475911	-4,92551115	0,963339742	4,599748487	-2,148734976	-0,875162594	-3,837215656	-4,392072602	1,600924655	-1,613694142	0,482933851	7,014562322	0,236590686	0,704423124	-1,087889999	4,338185749	2,248219989	2,040367196	-0,701208727	-1,493829558	-1,177275943	-0,236895665	0,34246444	0,060632579	-1,380805228	-1,539557073	-3,184710914
4058751	0,410378891	4,712143268	-0,15065185	-0,849373271	-0,940739601	-1,942646978	4,750747892	-0,957706475	2,431343216	2,820431124	-0,98664439	-3,360510808	-1,735376119	0,358423364	0,956339471	0,278942579	-1,308454205	-0,650515089	-2,058443099	-0,363738273	2,613077161	-1,055158492	-0,685629045	-1,875860382	-3,751706149	0,921723894	4,347765902	-0,74682148	-1,334434391	-1,153139388	-1,766620642	4,5042539	-0,662499278	1,781977593	2,370539019	-0,880237028	-0,245401527	-1,230572024	0,589725726	0,984482491	-0,427343445	-0,313160413	-0,993011975	-1,542964855	-1,603410313	2,446201519	-0,526395842	-0,797561789	-1,576695432	-1,224676327
4058933	0,570438363	-0,005140174	-3,480845713	-1,454928358	-3,727995966	-4,270471573	-3,263599911	-5,548605751	-6,06356425	-2,184096533	2,552794685	5,864181676	0,713320771	1,962529631	2,668057366	1,915376024	1,696044205	2,080326501	0,369153454	2,882308346	-0,147368524	4,988667587	1,080101101	1,373755408	-9,072320049	0,973424952	0,263557582	-2,813166278	-1,323982917	-4,631833453	-6,36219298	-2,626945502	-4,930167265	-5,022419997	-1,850211861	2,623049137	5,387646311	1,471221784	2,216313302	3,329879246	2,770912501	0,966258465	2,435721821	0,400385912	2,644776292	0,791526007	4,990268836	1,677812494	2,867029277	-5,275438713
4059152	0,323532763	-2,791885094	-2,893026654	-0,849541862	0,267381176	-2,953557995	-0,940569785	-0,490043192	-3,102340339	-3,483618698	0,983351485	3,768383718	-0,774241489	-1,036853675	1,639853989	-0,494796743	1,447732152	2,203463877	0,009645677	2,209579377	1,8908856	3,179338846	0,14218319	2,068676439	-6,656197079	0,966358643	-2,614799734	-2,263823464	-0,758017177	0,553797667	-2,471909939	-1,005940686	-0,496305155	-4,283964132	-3,852315889	2,176219891	3,831722713	-1,198635569	-1,414559812	1,166860472	-1,851543675	2,183939673	2,442909223	1,235516616	2,801001999	2,847343517	4,101851454	0,056118397	2,121748937	-3,307215329
4059167	0,477687012	-1,262193724	-3,605115702	3,867639142	-5,322562213	-6,570061975	-3,018912792	-7,114581026	-4,384564053	0,285055267	2,404237931	3,830632809	-0,507021758	1,108564929	3,988791054	-0,77696615	0,363859391	0,546204705	1,344415823	5,298924845	1,107896023	2,348394725	3,55650946	2,510853291	-1,245545268	0,94943346	-1,237513451	-3,034209183	3,974057389	-7,348688264	-7,325542997	-2,958604959	-3,557597161	-3,795332568	0,062113779	3,341131062	5,117133292	0,268710906	0,721553656	3,579568165	-2,187902646	0,493688167	-1,076017567	2,235989746	5,566369327	0,148662301	2,929687472	3,060396529	2,344897651	-1,322550646
