"","resp.id","rating","speed","height","const","theme"
"1",1,4,"40","300","Steel","Dragon"
"2",1,3,"50","200","Wood","Dragon"
"3",1,5,"50","300","Wood","Dragon"
"4",1,6,"60","300","Wood","Eagle"
"5",1,4,"60","400","Wood","Eagle"
"6",1,4,"50","400","Steel","Eagle"
"7",1,4,"50","400","Steel","Dragon"
"8",1,1,"40","200","Steel","Dragon"
"9",1,1,"50","200","Wood","Eagle"
"10",1,3,"60","200","Wood","Eagle"
"11",1,10,"70","300","Wood","Eagle"
"12",1,6,"50","300","Steel","Dragon"
"13",1,7,"60","300","Steel","Dragon"
"14",1,1,"40","200","Steel","Dragon"
"15",1,2,"40","200","Wood","Eagle"
"16",1,6,"70","200","Wood","Eagle"
"17",2,6,"40","300","Steel","Dragon"
"18",2,4,"50","200","Wood","Dragon"
"19",2,8,"50","300","Wood","Dragon"
"20",2,7,"60","300","Wood","Eagle"
"21",2,10,"60","400","Wood","Eagle"
"22",2,2,"50","400","Steel","Eagle"
"23",2,10,"50","400","Steel","Dragon"
"24",2,2,"40","200","Steel","Dragon"
"25",2,4,"50","200","Wood","Eagle"
"26",2,3,"60","200","Wood","Eagle"
"27",2,8,"70","300","Wood","Eagle"
"28",2,4,"50","300","Steel","Dragon"
"29",2,4,"60","300","Steel","Dragon"
"30",2,2,"40","200","Steel","Dragon"
"31",2,1,"40","200","Wood","Eagle"
"32",2,8,"70","200","Wood","Eagle"
"33",3,5,"40","300","Steel","Dragon"
"34",3,4,"50","200","Wood","Dragon"
"35",3,6,"50","300","Wood","Dragon"
"36",3,7,"60","300","Wood","Eagle"
"37",3,7,"60","400","Wood","Eagle"
"38",3,4,"50","400","Steel","Eagle"
"39",3,1,"50","400","Steel","Dragon"
"40",3,1,"40","200","Steel","Dragon"
"41",3,1,"50","200","Wood","Eagle"
"42",3,4,"60","200","Wood","Eagle"
"43",3,10,"70","300","Wood","Eagle"
"44",3,7,"50","300","Steel","Dragon"
"45",3,9,"60","300","Steel","Dragon"
"46",3,2,"40","200","Steel","Dragon"
"47",3,2,"40","200","Wood","Eagle"
"48",3,6,"70","200","Wood","Eagle"
"49",4,5,"40","300","Steel","Dragon"
"50",4,3,"50","200","Wood","Dragon"
"51",4,6,"50","300","Wood","Dragon"
"52",4,5,"60","300","Wood","Eagle"
"53",4,4,"60","400","Wood","Eagle"
"54",4,3,"50","400","Steel","Eagle"
"55",4,5,"50","400","Steel","Dragon"
"56",4,5,"40","200","Steel","Dragon"
"57",4,3,"50","200","Wood","Eagle"
"58",4,2,"60","200","Wood","Eagle"
"59",4,10,"70","300","Wood","Eagle"
"60",4,7,"50","300","Steel","Dragon"
