1;0.715;0.328;0.475;0.473;0.361;0.434;0.500;0.676;0.371;0.514
0.715;1;0.410;0.528;0.540;0.335;0.482;0.572;0.693;0.427;0.501
0.328;0.410;1;0.337;0.321;0.334;0.499;0.337;0.428;0.421;0.356
0.475;0.528;0.337;1;0.165;0.731;0.546;0.882;0.937;0.333;0.510
0.473;0.540;0.321;0.165;1;0.182;0.485;0.659;0.586;0.377;0.326
0.361;0.335;0.334;0.731;0.182;1;0.345;0.621;0.768;0.515;0.521
0.434;0.482;0.499;0.546;0.485;0.345;1;0.826;0.535;0.482;0.447
0.500;0.572;0.337;0.882;0.659;0.621;0.826;1;0.728;0.475;0.573
0.676;0.693;0.428;0.937;0.586;0.768;0.535;0.728;1;0.408;0.705
0.371;0.427;0.421;0.333;0.377;0.515;0.482;0.475;0.408;1;0.418
0.514;0.501;0.356;0.510;0.326;0.521;0.447;0.573;0.705;0.418;1
