N.POP;DL.R;DIA.ST;N.REB;N.ZUB;DL.OSN.Z;DL.TR.V;DL.BAZ;DL.PER
1;424;2.3;13;12;2;5;3;25
1;339;2;11;12;1;4;2.5;13
1;321;2.5;15;14;2;5;2.3;13
1;509;3;14;14;1.5;5;2.2;23
1;462;2.5;12;13;1.1;4;2.1;12
1;350;1.8;9;9;1.1;4;2;15
1;405;2;14;15;1;4;2;13
2;615;2.2;11;11;1;4;2;14
2;507;2;10;10;1;5;1.9;10
2;330;1.8;8;8;1;5;1;9
2;424;3;11;11;1;5;1.1;9
2;449;3;11;11;1.5;6;0.5;8
2;361;2.5;12;12;2;5;0.5;10
2;450;2.3;10;13;1.5;5;0.4;7
2;403;1.7;7;12;0.5;4;0.5;9
2;541;2.5;11;11;1;5;0.4;8
3;325;2;8;8;1;4;0.7;8
3;310;2;7;7;1;4;1.5;8
3;341;2;8;8;0.7;3.5;1;10
3;375;2;7;7;1.5;4;1;9
3;410;2;7;7;1.5;2;0.7;9
3;391;1.8;7;7;1;4;2;11
3;442;1.9;7;7;1;4;1;10
3;360;2;8;8;1.5;4;2;12
3;325;2;7;7;2;2;1;10
3;348;2.1;8;8;1.5;4;1;14
4;644;5;13;13;1;6;0.9;6
4;716;4;14;14;1.5;7;1;10
4;580;3.5;10;10;1;5;1;10
4;412;3;12;12;1;6;1.2;7
4;606;4;10;10;2;5;1.1;9
4;610;4;13;13;1;5;1;9
4;600;3.5;14;14;0.7;5;1.1;10
4;642;4;13;13;1;6;1;7
4;606;4;10;10;2;5;1;6
4;621;3;13;13;2;6;1;8
4;610;4.5;14;14;1;6;1;6
4;612;2.9;11;11;1;5;1;6
5;422;2;18;18;2.2;4.5;3;7
5;449;2.5;18;18;1.2;4;2.5;8
5;405;2.1;15;16;1.8;4.5;2.5;8
5;331;1.8;18;18;1.5;3;4.5;11
5;330;2;16;22;2;3.5;7;8
5;378;1.7;15;17;1;4;5;10
5;375;2;15;15;1.7;3;3.5;10
5;428;2.5;17;17;1.5;3;5;11
5;347;2;13;13;2;4;3.5;8
5;391;2;16;16;2;4;3;7
6;346;2.2;9;9;1;3;2;9
6;494;2;11;11;2;4;1.5;7
6;380;1.8;8;8;1;3;1.2;13
6;379;2.1;7;7;2;5;1;12
6;398;2.8;9;10;2;4;1;9
6;380;2.2;10;10;0.7;3;2.5;11
6;404;2.7;11;11;2;4.5;3;7
6;382;2.5;9;9;2;3;1;12
6;417;2.2;11;11;1.2;5;2;9
6;383;2;12;12;1;3.5;1;7
6;508;4;10;10;2;4;1;5
6;370;2;8;8;1.5;3;1.1;7
6;218;2;7;7;1.5;3;2;13
6;345;3;10;10;1.5;3;2;13
6;346;3;6;6;2;4;2.2;10
6;255;1.5;7;7;2;2;1.5;7
7;541;3.5;13;13;5;5;1;5
7;336;2;9;9;1.5;3;1.2;8
7;342;2;9;9;3;5;0.5;7
7;321;2.2;8;8;2;5;1;7
7;409;2;11;11;4;4.5;2;11
7;418;1.7;10;10;3;5;1;7
7;370;2;8;8;2;4.5;1;7
7;364;2;11;12;4;3;2;10
7;500;3;14;14;6;5;1.2;8
7;650;3;16;16;6.7;5;1;7
7;525;2.5;13;15;7;4.5;1.5;10
7;374;2;21;17;4;3;2;10
7;521;3;13;13;6.5;5;1;6
7;453;2.7;15;15;5;5;0.7;10
7;355;2.5;13;14;6;5;2.5;7
8;328;2.5;9;9;3;4;1.5;8
