SPECIES	DL.R	DIA.ST	N.REB	N.ZUB	DL.OSN.Z	DL.TR.V	DL.BAZ	DL.PER
arvense	424	2.3	13	12	2	5	3	25
arvense	339	2	11	12	1	4	2.5	13
arvense	321	2.5	15	14	2	5	2.3	13
arvense	509	3	14	14	1.5	5	2.2	23
arvense	462	2.5	12	13	1.1	4	2.1	12
arvense	350	1.8	9	9	1.1	4	2	15
arvense	405	2	14	15	1	4	2	13
arvense	615	2.2	11	11	1	4	2	14
arvense	507	2	10	10	1	5	1.9	10
arvense	330	1.8	8	8	1	5	1	9
arvense	424	3	11	11	1	5	1.1	9
arvense	449	3	11	11	1.5	6	0.5	8
arvense	361	2.5	12	12	2	5	0.5	10
arvense	450	2.3	10	13	1.5	5	0.4	7
arvense	403	1.7	7	12	0.5	4	0.5	9
arvense	541	2.5	11	11	1	5	0.4	8
arvense	325	2	8	8	1	4	0.7	8
arvense	310	2	7	7	1	4	1.5	8
arvense	341	2	8	8	0.7	3.5	1	10
arvense	375	2	7	7	1.5	4	1	9
arvense	410	2	7	7	1.5	2	0.7	9
arvense	391	1.8	7	7	1	4	2	11
arvense	442	1.9	7	7	1	4	1	10
arvense	360	2	8	8	1.5	4	2	12
arvense	325	2	7	7	2	2	1	10
arvense	348	2.1	8	8	1.5	4	1	14
arvense	644	5	13	13	1	6	0.9	6
arvense	716	4	14	14	1.5	7	1	10
arvense	580	3.5	10	10	1	5	1	10
arvense	412	3	12	12	1	6	1.2	7
arvense	606	4	10	10	2	5	1.1	9
arvense	610	4	13	13	1	5	1	9
arvense	600	3.5	14	14	0.7	5	1.1	10
arvense	642	4	13	13	1	6	1	7
arvense	606	4	10	10	2	5	1	6
arvense	621	3	13	13	2	6	1	8
arvense	610	4.5	14	14	1	6	1	6
arvense	612	2.9	11	11	1	5	1	6
fluviatile	882	4	20	20	1.5	5	4	14
fluviatile	950	4.3	18	18	1	5	4	12
fluviatile	813	4	16	16	1.5	5	5	15
fluviatile	848	4.5	20	20	2	4.5	5	13
fluviatile	792	4	16	16	1.5	4	4	10.5
fluviatile	931	4	16	16	2	5	6	16
fluviatile	805	4	18	18	1	5	4	14
fluviatile	669	4	18	18	1.5	6	5	14
fluviatile	773	4	17	17	1.5	5.5	5	10
fluviatile	886	4.3	17	17	2	5	4.5	11
fluviatile	937	4.3	18	18	1.5	5	4	10
fluviatile	892	4	18	18	1.5	4	5	12
fluviatile	903	4	16	16	1	4.5	5	10
fluviatile	935	4.2	17	17	1.5	5	4	10
fluviatile	380	3.7	16	16	1.5	5	2	5
fluviatile	1176	6	20	20	2	6	4	12
fluviatile	1124	6	18	18	2.2	6.5	3	8
fluviatile	886	6.5	18	18	1.8	6	3	7
fluviatile	1002	5	16	16	2.5	5.5	5	15
fluviatile	970	5	19	19	2	7	5	16
fluviatile	1168	6	17	17	3	8	6	18
fluviatile	1145	6	18	18	2.5	7	6	17
fluviatile	1109	7	22	22	3	8	4	16
fluviatile	972	5	19	19	2	6	5	14
fluviatile	906	6	19	19	3	7	5	7
fluviatile	886	5	16	16	2.2	7	6	18
fluviatile	1142	6	18	18	2	6	5	16
fluviatile	1034	5.5	20	20	2	6	6	16
fluviatile	864	5.5	17	17	2.5	7	5	13
fluviatile	965	5	17	17	2	6	5	16
fluviatile	720	4.2	18	16	1.3	6	1	5
fluviatile	850	5	17	16	2	8	1	5.5
fluviatile	910	4.5	15	18	2	5	1	5
fluviatile	740	4	17	16	0.8	4	1	5
fluviatile	750	4.2	16	18	3	8	1.5	6
fluviatile	1050	4.8	17	14	1.5	6	1	4
fluviatile	1150	5	16	19	0.5	5.5	1	4.5
fluviatile	1100	4	18	19	1.5	4.5	1.2	5
fluviatile	660	5	16	16	2.2	6	0.8	5
fluviatile	660	4	17	15	2	6	1.5	5.5
fluviatile	1160	6	17	15	1	6.5	2	6
fluviatile	750	4.8	16	17	1	6	1	6
fluviatile	820	6	16	16	1	5.5	1	7
fluviatile	1020	5.5	19	19	1	5	1.2	5.5
fluviatile	1120	4	14	16	0.8	5	1.2	6
fluviatile	700	4	18	19	1.5	6.5	1.2	6
