C.1	C.2	C.3	C.4	C.5	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20
baltika.3	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0
baltika.6	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1
baltika.9	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1
ochak.klassicheskoe	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
ochak.temnoe	0	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0
sib.kor.prazdnichnoe	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0
klinskoe.zolotoe	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
klinskoe.temnoe	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
sokol.svetloe	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0
sokol.bezalkogoljnoe	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0
vena.porter	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0
sinebryuxov	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0
zhigulevskoe	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
xamovnicheskoe	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0
vena.petergof	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0
budweiser	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1
heineken	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0
efes	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0
bochkarev.svetloe	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0
tuljskoe.krepkoe	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0
tuljskoe.arsenaljnoe	0	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0
tuljskoe.originaljnoe	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
staryj.meljnik.svetloe	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0
afanasij.svetloe	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
sib.kor.originaljnoe	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ochak.specialjnoe	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
