Pokorm.L;Pokorm.D
Achillea millefolium;1;1
Agrostis gigantea;1;1
Agrostis straminea;1;1
Alnus incana;0;0
Alopecurus arundinaceus;1;1
Andromeda polifolia;1;1
Angelica archangelica;1;1
Angelica sylvestris;1;0
Antennaria dioica;1;1
Arctostaphylos uva-ursi;1;1
Arctous alpina;1;1
Aster tripolium;1;1
Atriplex nudicaulis;1;1
Avenella flexuosa;1;1
Betula pubescens;1;1
Blysmus rufus;1;1
Botrychium boreale;1;0
Botrychium lanceolatum;1;1
Botrychium lunaria;1;1
Brassica napus;0;0
Calamagrostis neglecta;1;1
Calamagrostis purpurea;1;0
Calluna vulgaris;1;1
Campanula rotundifolia;1;1
Carduus crispus;1;1
Carex acuta;1;1
Carex aquatilis;1;1
Carex brunnescens;1;1
Carex buxbaumii;1;0
Carex canescens;1;1
Carex capitata;1;1
Carex flava;0;0
Carex glareosa;1;1
Carex globularis;0;1
Carex juncella;0;0
Carex lasiocarpa;0;1
Carex mackenziei;1;1
Carex magellanica;1;1
Carex rariflora;1;1
Carex rotundata;0;0
Carex serotina;1;1
Carex subspathaceae;1;1
Cerastium alpinum;1;1
Cerastium holosteoides;1;1
Chamaenerion angustifolium;1;1
Cochlearia groenlandica;1;1
Coenolophium denudatum;1;1
Comarum palustre;1;1
Conioselinum tataricum;1;1
Corallorhiza trifida;0;1
Cornus suecica;1;1
Coronaria flos-cuculi;1;1
Cotoneaster antoninae;1;1
Cotoneaster cinnabarinus;0;0
Dactylorhiza maculata;1;0
Deschampsia caespitosa;0;1
Dianthus superbus;1;1
Draba incana;1;1
Dryopteris carthusiana;0;0
Dryopteris expansa;0;0
Eleocharis unglumis;1;1
Elytrigia repens;1;1
Empetrum hermaphroditum;1;1
Epilobium palustre;1;1
Equisetum arvense;1;1
Equisetum pratense;0;0
Equisetum sylvaticum;1;1
Eriophorum polystachion;1;1
Eriophorum vaginatum;0;0
Erysimum hieracifolium;1;1
Euphrasia frigida;1;1
Festuca ovina;1;1
Festuca rubra;1;1
Filipendula ulmaria;0;0
Galeopsis bifida;1;1
Galium palustre;0;0
Galium trifidum;1;1
Galium uliginosum;1;1
Geranium pratense;0;0
Geranium sylvaticum;1;1
Glaux maritima;1;1
Goodyera repens;0;1
Gymnocarpium dryopteris;1;1
Heracleum sibiricum;1;1
Hieracium spp.;1;1
Hieracium laevigatum;0;0
Hieracium subarctoum;0;0
Hieracium umbellatum;1;1
Hieracium vulgatum;0;0
Hippuris tetraphylla;1;0
Honkenya peploides;1;1
Huperzia selago;1;1
Juncus artrofuscus;1;1
Juncus filiformis;0;1
Juniperus communis;1;1
Juniperus sibirica;0;0
Lathyrus japonicus;1;1
Lathyrus palustris;1;1
Ledum palustre;1;1
Leymus arenarius;1;1
Ligusticum scothicum;1;1
Linnaea borealis;1;1
Listera cordata;1;1
Luzula frigida;1;1
Luzula pilosa;1;1
Lycopodium annotinum;1;1
Lycopodium clavatum;0;0
Lycopodium complanatum;0;0
Maiantemum bifolium;1;1
Melampirum pratense;1;1
Mertensia maritima;1;1
Moneses uniflora;1;1
Montia fontana;1;1
Orthilia secunda;1;1
Oxycoccus microcarpus;0;1
Oxycoccus palustris;1;1
Parnassia palustris;1;1
Pedicularis palustris;1;1
Phalaroides arundinacea;0;0
Phragmites australis;1;1
Picea obovata;1;1
Pinguicula vulgaris;1;1
Pinus sylvestris;1;1
Plantago maritima;1;1
Platanthera bifolia;0;0
Poa subcaerulea;1;1
Poa alpina;1;1
Poa glauca;1;0
Poa nemoralis;0;0
Poa palustris;0;0
Polygonum viviparum;0;0
Polypodium vulgare;0;0
Populus tremula;1;1
Potentilla arctica;0;0
Potentilla egedii;1;1
Primula finmarchica;1;1
Puccinellia capillaris;0;0
Puccinellia coarctata;1;1
Puccinellia maritima;0;1
Puccinellia phryganodes;0;1
Puccinellia pulvinata;1;1
Pyrola chlorantha;1;1
Pyrola minor;1;1
Ranunculus polyanthemos;1;1
Ranunculus reptabundus;1;0
Rhinanthus minor;1;1
Rhodiola rosea;1;1
Ribes spicatum;1;1
Rosa majalis;0;0
Rubus chamaemorus;1;1
Rubus idaeus;0;0
Rubus saxatilis;1;1
Rumex aquaticus;0;1
Rumex pseudonatronatus;1;1
Rumex thyrsiflorus;1;1
Ruppia maritima;1;1
Sagina nodosa;1;1
Salicornia europaeae;1;0
Salicornia pojarkovae;0;1
Salix caprea;1;1
Salix glauca;1;0
Salix hastata;0;1
Salix lapponum;0;1
Salix pentandra;0;0
Salix phylicifolia;1;1
Saxifraga caespitosa;1;1
Scutellaria galericulata;0;0
Sedum acre;1;1
Selaginella selaginoides;0;0
Senecio integrifolius;1;1
Solidago virgaurea;1;1
Sonchus arvensis;1;1
Sorbus aucuparia;1;1
Sorbus sibirica;1;1
Sparganium hyperboreum;1;1
Spergularia salina;1;1
Stellaria crassifolia;1;1
Stellaria graminea;1;1
Stellaria humifusa;0;0
Tanacetum vulgare;1;1
Thymus serpyllum;1;1
Trientalis europaea;1;1
Triglochin maritimum;1;1
Triglochin palustre;1;1
Tripleurospermum maritima;1;1
Vaccinium myrtillus;1;1
Vaccinium uliginosum;1;1
Vaccinium vitis-idaea;1;1
Veronica longifolia;1;1
Vicia sepium;0;0
Viola glaberrima;0;0
Viola rupestris;1;1
Zostera marina;1;1
