LOCAL	DL.CH	ZUB	DL.TR	DL.OL	SH.OL	STLB	LMAX	CHER	hue	magenta	lightness	yfrac	nwse	div
1	1	18.5	9.375	19.625	15.375	14	1.75	104.25	28.75	7.5	0	100	100	117.35139317996	0.376770161256437
2	2	17.3333333333333	7.11111111111111	18.6666666666667	15.1111111111111	13.1111111111111	1.88888888888889	115.777777777778	30.5555555555556	46.6666666666667	0	100	100	86.9829159813291	0.529706199057654
13	50	15.8421052631579	5.94736842105263	15.7368421052632	13.7368421052632	12.3684210526316	1.94736842105263	49.4210526315789	11.3157894736842	256.842105263158	30.8421052631579	80	15.7894736842105	211.937348004484	1.33867187832215
14	71	15.48	4.68	16.8	13	11.76	2.04	56	34.6	42.4	0.64	98.4	100	91.0045060508005	0.974341780768986
15	72	15.76	4.92	19.28	15.12	11.64	1.88	76.32	45.44	100	7.68	94.8	68	112.018922266052	0.899564200899253
16	73	16.8636363636364	6.36363636363636	18.8636363636364	16.0454545454545	13.5454545454545	1.09090909090909	67.9545454545455	22.2272727272727	100	12.7727272727273	90.9090909090909	68.1818181818182	105.624951584318	1.45980129946286
17	74	16.2	5.36	18.04	14.16	11.88	1.8	66.12	32.76	121.4	13.08	91.4	60	114.757150263984	1.14032464707988
18	75	16.16	5.84	17.88	14.12	12.04	1.96	116.32	36.84	124.8	19.36	85.6	56	133.70447869831	1.34417633748388
19	76	16.4	6.64	18.16	15.48	13.72	1.32	62.56	19	107	14.24	89	64	134.50637071211	1.32047755297162
20	77	17.52	7.44	19.48	14.6	15.88	2.04	92.6	22.04	289.8	44.64	71.4	4	163.29873781189	1.56465545012612
21	78	16.8	6.4	18.48	13.8	12.64	1.8	53.76	16.2	253.4	43.08	65.8	4	163.502997134855	0.793816951616737
22	79	16.56	6.56	19	14.12	13.12	1.72	37.72	7.84	252.4	47.52	65.6	8	164.267434300123	1.30821258890724
23	80	16.92	6.92	18.56	15.08	13.52	1.88	98.12	33.84	272.8	49	64	0	188.039543595578	1.05035102394087
24	81	16.08	6.44	18.52	13.4	11.32	1.72	105.28	29.4	294.2	39.56	73	0	208.283810731239	1.39830012679173
27	301	15.7619047619048	6.61904761904762	17.7142857142857	15.047619047619	13.7619047619048	1.47619047619048	48.0952380952381	13.1904761904762	5.47619047619048	0.19047619047619	99.5238095238095	100	148.652769118893	0.380506218477596
28	302	17.6538461538462	7.73076923076923	17.6923076923077	15.1153846153846	14.2692307692308	1.53846153846154	60.8076923076923	18.2692307692308	11.5384615384615	0	100	100	147.385671649159	0.489551893622929
29	303	16.3	7.05	17.7	15.25	14.1	1.7	62.95	11.95	88	6	96	80	146.589697803098	1.18728322547134
30	304	18.15	7.95	18.9	14.6	13.85	1.7	71.2	20.55	106	14.15	91.5	75	144.329889808618	1.37276553089245
31	305	17.3809523809524	7.47619047619048	19.8095238095238	16.5238095238095	14.5714285714286	1.38095238095238	65.3333333333333	13.3333333333333	121.428571428571	13.4285714285714	91.4285714285714	71.4285714285714	144.309444408684	1.15374194270109
