interval;a5_1@1;a5_1@2;a5_1@3;a5_1@4;a5_1@5;a5_1@6;a5_1@7;a5_1@8;a5_1@9;a5_1@10;a51_1@1;a51_1@2;a51_1@3;a51_1@4;a51_1@5;a51_1@6;a51_1@7;a51_1@8;a51_1@9;a6from_1;a6to_1;a7_1@1;a7_1@2;a7_1@3;a7_1@4;a7_1@5;a7_1@6;a7_1@8;a7_1@9;a7_1@10;a7_1@11;a7_1@12;a7_1@13;a7_1@14;a7_1@15;a7_1@16;a7_1@17;a7_1@18;a7_1@19;a7_1@20;a7_1@21;a7_1@22;a7_1@23;a7_1@24;a7_1@25;a7_1@7;a7_1@98;a8_1;a91_1@2;transport;InterviewID
2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30; ;4065499
2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30; ;4065499
3;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30; ;4065499
3;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30; ;4065499
3;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;21;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;30; ;4065501
3;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;30; ;4065501
4;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;45; ;4065501
4;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;45; ;4065501
2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;55; ;4065502
2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;30; ;4065502
3;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0; ;4065502
3;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;20; ;4065502
4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;15;1;4065502
