v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26
100;69.5;70.1;41.5;53.8;43.6;46;21.5;27.8;22.5;19.4;26.4;21.5;30.5;23.5;24.7;18.2;20.9;29.7;22.7;24.3;51.7;53.6;41.3;22.3;25.6
69.5;100;80.6;44;57.1;53.6;48.7;20.9;32.3;23.5;22.9;27.6;18.8;29;22.7;20.7;17.6;22.3;31.5;15.3;18;45.2;57.9;34.2;21.3;23.5
70.1;80.6;100;46.8;59.5;50.9;53.6;22.5;31.5;24.1;24.3;30.7;18.2;30.5;23.9;22.7;16.4;22.5;28.8;15.3;16.6;45.6;57.5;36.8;22.5;26.6
41.5;44;46.8;100;43.8;37;41.7;22.5;30.1;23.7;22.9;30.9;25.8;46;31.5;29.4;21.7;26.4;31.9;26.6;23.5;30.3;42.7;26.8;41.1;30.5
53.8;57.1;59.5;43.8;100;51.9;55.8;25.2;39.5;30.7;29.4;36.4;23.9;28.2;32.1;30.9;24.1;29.2;38;28.8;27.8;35.6;39.1;25.8;22.1;33.3
43.6;53.6;50.9;37;51.9;100;67.1;33.3;37.6;37.2;33.7;38;22.1;29.7;28.8;30.1;31.5;32.1;33.5;19;21.5;25.8;32.1;16;19;25.6
46;48.7;53.6;41.7;55.8;67.1;100;30.9;33.5;34.4;30.5;44.8;22.7;30.9;31.1;33.5;23.5;28.2;30.3;23.7;19.4;25.6;35.6;20.9;20.2;29.7
21.5;20.9;22.5;22.5;25.2;33.3;30.9;100;54.2;69.3;77.7;51.5;34.8;22.5;41.5;32.3;33.7;59.5;37;26.8;26.6;25.8;28;24.1;21.9;25.4
27.8;32.3;31.5;30.1;39.5;37.6;33.5;54.2;100;50.5;54.8;37.8;35.6;27.8;47.9;33.1;35.2;68.9;56.6;28.2;27.8;30.5;38.7;22.1;22.9;29.7
22.5;23.5;24.1;23.7;30.7;37.2;34.4;69.3;50.5;100;73.6;57.1;31.9;21.7;32.1;30.7;29.7;56.9;29.4;26.6;26.6;26.6;23.7;23.3;21.1;26.2
19.4;22.9;24.3;22.9;29.4;33.7;30.5;77.7;54.8;73.6;100;55.6;32.1;22.3;38.4;28.6;28;58.3;34.8;23.5;26;23.3;27.8;21.3;21.3;26
26.4;27.6;30.7;30.9;36.4;38;44.8;51.5;37.8;57.1;55.6;100;25.2;30.1;39.5;39.9;27.6;37.6;34.6;34.4;25.2;23.1;30.5;23.3;24.3;38.2
21.5;18.8;18.2;25.8;23.9;22.1;22.7;34.8;35.6;31.9;32.1;25.2;100;37;38;38.7;46.8;35.6;35.4;41.5;46.4;33.3;24.7;35.8;40.1;40.9
30.5;29;30.5;46;28.2;29.7;30.9;22.5;27.8;21.7;22.3;30.1;37;100;31.3;45;36.2;23.1;28.4;40.5;38.4;38.9;34.4;45;43.8;41.7
23.5;22.7;23.9;31.5;32.1;28.8;31.1;41.5;47.9;32.1;38.4;39.5;38;31.3;100;43.4;41.5;51.9;57.7;40.1;39.5;30.3;38.2;33.3;31.3;39.3
24.7;20.7;22.7;29.4;30.9;30.1;33.5;32.3;33.1;30.7;28.6;39.9;38.7;45;43.4;100;47.4;32.1;37.2;48.9;47.6;38.7;30.5;43.1;37.4;47.6
18.2;17.6;16.4;21.7;24.1;31.5;23.5;33.7;35.2;29.7;28;27.6;46.8;36.2;41.5;47.4;100;36.8;39.7;53.2;56.9;33.1;21.9;43.6;34.8;49.1
20.9;22.3;22.5;26.4;29.2;32.1;28.2;59.5;68.9;56.9;58.3;37.6;35.6;23.1;51.9;32.1;36.8;100;51.3;28.8;28.2;27.8;34.4;21.7;21.5;29.4
29.7;31.5;28.8;31.9;38;33.5;30.3;37;56.6;29.4;34.8;34.6;35.4;28.4;57.7;37.2;39.7;51.3;100;33.7;42.9;34.8;43.6;30.3;25.8;37.8
22.7;15.3;15.3;26.6;28.8;19;23.7;26.8;28.2;26.6;23.5;34.4;41.5;40.5;40.1;48.9;53.2;28.8;33.7;100;59.5;38.4;23.3;49.3;42.9;62
24.3;18;16.6;23.5;27.8;21.5;19.4;26.6;27.8;26.6;26;25.2;46.4;38.4;39.5;47.6;56.9;28.2;42.9;59.5;100;42.9;24.9;52.6;37.8;53.4
51.7;45.2;45.6;30.3;35.6;25.8;25.6;25.8;30.5;26.6;23.3;23.1;33.3;38.9;30.3;38.7;33.1;27.8;34.8;38.4;42.9;100;50.7;64.8;32.9;38.2
53.6;57.9;57.5;42.7;39.1;32.1;35.6;28;38.7;23.7;27.8;30.5;24.7;34.4;38.2;30.5;21.9;34.4;43.6;23.3;24.9;50.7;100;46.2;25.6;31.1
41.3;34.2;36.8;26.8;25.8;16;20.9;24.1;22.1;23.3;21.3;23.3;35.8;45;33.3;43.1;43.6;21.7;30.3;49.3;52.6;64.8;46.2;100;36.6;46.4
22.3;21.3;22.5;41.1;22.1;19;20.2;21.9;22.9;21.1;21.3;24.3;40.1;43.8;31.3;37.4;34.8;21.5;25.8;42.9;37.8;32.9;25.6;36.6;100;43.1
25.6;23.5;26.6;30.5;33.3;25.6;29.7;25.4;29.7;26.2;26;38.2;40.9;41.7;39.3;47.6;49.1;29.4;37.8;62;53.4;38.2;31.1;46.4;43.1;100
