v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26
100;70.4;70.4;42;53.1;47.5;50;25.3;27.2;21.6;20.4;25.3;24.1;26.5;25.9;23.5;21.6;22.8;29.6;23.5;21.6;53.7;49.4;42.6;22.2;27.2;100;70.5;69.9;42.2;55.4;42.8;49.4;17.5;29.5;22.9;17.5;27.1;16.3;33.1;17.5;24.1;14.5;21.1;30.1;18.7;24.7;51.8;57.8;38.6;20.5;25.3;100;67.7;70.2;40.4;52.8;40.4;38.5;21.7;26.7;23;20.5;26.7;24.2;31.7;27.3;26.7;18.6;18.6;29.2;26.1;26.7;49.7;53.4;42.9;24.2;24.2
70.4;100;79.6;43.8;59.3;57.4;47.5;24.7;29;21.6;26.5;27.2;19.8;29;22.2;19.8;20.4;21.6;29.6;13;21;46.9;59.3;36.4;21;21;70.5;100;83.1;45.2;56.6;50.6;50.6;15.7;34.9;22.3;19.3;24.1;16.3;25.9;19.9;16.9;16.3;22.9;35.5;15.7;13.9;46.4;57.8;33.7;21.1;24.7;67.7;100;78.9;42.9;55.3;52.8;47.8;22.4;32.9;26.7;23;31.7;20.5;32.3;26.1;25.5;16.1;22.4;29.2;17.4;19.3;42.2;56.5;32.3;21.7;24.8
70.4;79.6;100;43.8;58.6;55.6;55.6;24.7;29;22.8;25.3;29.6;21.6;27.8;25.3;22.8;18.5;22.8;28.4;12.3;16.7;50;59.9;39.5;17.3;20.4;69.9;83.1;100;50;57.8;47.6;53;21.7;34.9;22.9;22.3;28.9;14.5;30.1;24.7;19.9;14.5;22.3;31.3;17.5;17.5;43.4;60.2;39.2;24.7;27.7;70.2;78.9;100;46.6;62.1;49.7;52.2;21.1;30.4;26.7;25.5;33.5;18.6;33.5;21.7;25.5;16.1;22.4;26.7;16.1;15.5;43.5;52.2;31.7;25.5;31.7
42;43.8;43.8;100;43.2;40.7;39.5;24.7;30.2;26.5;25.3;32.1;30.9;43.8;28.4;29.6;24.1;25.3;35.2;25.9;22.8;28.4;38.9;24.7;35.2;27.8;42.2;45.2;50;100;43.4;32.5;42.2;21.7;32.5;18.1;21.1;31.3;23.5;50.6;32.5;32.5;22.9;24.7;34.3;30.1;27.7;31.3;43.4;27.7;44.6;33.7;40.4;42.9;46.6;100;44.7;37.9;43.5;21.1;27.3;26.7;22.4;29.2;23;43.5;33.5;26.1;18;29.2;26.1;23.6;19.9;31.1;46;28;43.5;29.8
53.1;59.3;58.6;43.2;100;51.2;53.7;25.9;41.4;31.5;34;35.2;25.3;22.8;33.3;25.3;27.2;27.8;37;27.8;30.2;41.4;38.3;32.1;18.5;29;55.4;56.6;57.8;43.4;100;51.8;62;23.5;40.4;27.1;27.1;36.1;19.3;31.3;28.3;31.3;21.1;29.5;39.8;28.3;22.9;28.3;40.4;18.7;21.7;32.5;52.8;55.3;62.1;44.7;100;52.8;51.6;26.1;36.6;33.5;27.3;37.9;27.3;30.4;34.8;36;24.2;30.4;37.3;30.4;30.4;37.3;38.5;26.7;26.1;38.5
47.5;57.4;55.6;40.7;51.2;100;72.8;35.2;33.3;33.3;32.1;38.9;25.9;30.2;31.5;29.6;32.1;30.2;32.1;19.1;20.4;31.5;34;18.5;14.8;25.3;42.8;50.6;47.6;32.5;51.8;100;65.1;30.1;38;38.6;34.9;33.7;19.9;28.9;25.9;31.3;30.1;33.7;33.7;15.1;19.9;23.5;31.9;13.3;19.9;22.3;40.4;52.8;49.7;37.9;52.8;100;63.4;34.8;41.6;39.8;34.2;41.6;20.5;29.8;29.2;29.2;32.3;32.3;34.8;23;24.2;22.4;30.4;16.1;22.4;29.2
50;47.5;55.6;39.5;53.7;72.8;100;32.1;31.5;34;30.9;48.8;25.9;28.4;30.2;30.9;24.7;29.6;27.8;24.1;17.9;25.9;30.9;22.8;13.6;28.4;49.4;50.6;53;42.2;62;65.1;100;28.9;35.5;33.7;29.5;41;19.3;31.3;30.7;38;25.9;27.1;31.3;23.5;21.1;26.5;42.8;22.3;21.7;28.3;38.5;47.8;52.2;43.5;51.6;63.4;100;31.7;33.5;35.4;31.1;44.7;23;32.9;32.3;31.7;19.9;28;31.7;23.6;19.3;24.2;32.9;17.4;25.5;32.3
25.3;24.7;24.7;24.7;25.9;35.2;32.1;100;56.2;73.5;80.9;52.5;35.2;18.5;35.8;29.6;29.6;61.7;32.1;19.1;18.5;22.2;27.2;22.2;19.8;19.8;17.5;15.7;21.7;21.7;23.5;30.1;28.9;100;54.8;69.9;78.9;51.2;33.1;23.5;46.4;37.3;39.8;59;37.3;30.7;34.9;25.9;29.5;25.3;22.3;26.5;21.7;22.4;21.1;21.1;26.1;34.8;31.7;100;51.6;64.6;73.3;50.9;36;25.5;42.2;29.8;31.7;57.8;41.6;30.4;26.1;29.2;27.3;24.8;23.6;29.8
27.2;29;29;30.2;41.4;33.3;31.5;56.2;100;51.2;58.6;41.4;35.8;27.2;52.5;29;31.5;69.8;52.5;24.1;24.7;27.2;38.9;17.9;21;27.2;29.5;34.9;34.9;32.5;40.4;38;35.5;54.8;100;53.6;56.6;33.7;36.1;26.5;44.6;31.9;39.8;73.5;56.6;28.9;27.7;33.7;38.6;24.1;19.9;28.9;26.7;32.9;30.4;27.3;36.6;41.6;33.5;51.6;100;46.6;49.1;38.5;34.8;29.8;46.6;38.5;34.2;63.4;60.9;31.7;31.1;30.4;38.5;24.2;28;32.9
21.6;21.6;22.8;26.5;31.5;33.3;34;73.5;51.2;100;76.5;56.8;30.2;17.3;35.8;28.4;24.1;58.6;26.5;21.6;22.2;22.2;22.8;21;19.8;23.5;22.9;22.3;22.9;18.1;27.1;38.6;33.7;69.9;53.6;100;74.7;52.4;31.9;21.7;34.3;30.7;36.1;58.4;30.1;27.7;25.9;27.7;23.5;22.3;17.5;25.3;23;26.7;26.7;26.7;33.5;39.8;35.4;64.6;46.6;100;69.6;62.1;33.5;26.1;26.1;32.9;28.6;53.4;31.7;30.4;31.7;29.8;24.8;26.7;26.1;29.8
