;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;;STD;;;;;;;;;;;;;;;;;;;;;;;;
1;2,210598353;5,617836103;6,172626271;4,29896672;1,707242994;2,759529615;0,405910005;1,084898347;0,813514937;5,879440883;9,961398009;5,720771391;6,171470605;7,677013766;5,440142981;6,725098618;8,512219092;5,429970176;8,87283277;4,098361583;8,949475583;5,905312021;7,532992177;0;5,081150958;2,90034783;-0,989727017;0,185041649;0,376325661;-0,269686356;-1,163277014;-0,800463076;-1,611958713;-1,37785288;-1,471422144;0,275239375;1,682641992;0,220532319;0,375927203;0,895017757;0,123775507;0,566810519;1,182985054;0,120268064;1,307319685;-0,338852246;1,333745072;0,284159387;0,845361096;-1,751910894
2;5,299513918;-3,258816091;-1,759478586;-4,510208516;-3,275992999;2,775194849;-5,087901411;-2,169605431;-1,290867986;-4,938331546;-5,338893266;-4,62032684;-3,151316871;-1,81961405;-8,165695085;-4,928097248;-6,891838204;-4,496982187;-4,133281777;-3,405046009;-5,356938468;-4,225131704;-6,889071097;0;-3,401613608;2,978068217;2,921735465;0,047949713;0,551409472;-0,372253027;0,042181911;2,074099049;-0,566235452;0,41369374;0,708763356;-0,516011665;-0,650515541;-0,409229454;0,084046677;0,531216696;-1,599722078;-0,512575108;-1,17197604;-0,367811782;-0,245685496;-0,001152559;-0,656574906;-0,276527613;-1,171046878;1,142221521
3;4,003854523;5,538048699;4,415363339;0,75075101;3,040825935;4,521680728;-0,357849508;3,968142547;-0,123130121;-1,269644042;-1,285485729;0,366064598;0,375282119;1,616325124;-2,165933176;1,349129289;1,489031762;-0,991081272;0,848683951;-0,346852631;-0,904077428;0,288824727;-1,068413969;0;1,002480853;2,156565341;1,391737877;2,10314418;1,58255464;-0,116727204;0,94518123;1,631854045;-0,630785599;1,375178223;-0,521946149;-1,053585;-1,060930795;-0,29510641;-0,290832243;0,284639774;-1,469194543;0,160740985;0,225613804;-0,92441536;-0,07131567;-0,625686344;-0,884071651;-0,330922561;-0,960274555;-0,464850674
4;3,76501698;1,588222988;2,260334647;0,7618785;-1,185566204;1,782202372;4,15259453;-0,167906121;2,865894746;9,300427493;10,15809378;5,223663475;5,157773808;7,300668605;6,167005136;6,393207842;7,362412978;5,724543849;7,619192978;7,654109513;9,649449864;6,245759553;8,792132591;0;4,940463079;3,332798207;-0,35269045;-1,005833502;-0,804167629;-1,253776653;-1,83810387;-0,947630343;-0,236398516;-1,532756826;-0,62247043;1,30819934;1,565540538;0,08497376;0,065203686;0,708175347;0,368021698;0,435893406;0,726701633;0,235262;0,803748002;0,814224644;1,412922863;0,391651817;1,155686385;-1,482376901
5;3,105902876;7,123895753;3,267968678;3,798980942;2,523057699;7,330417974;6,229278316;3,723440864;2,498109749;5,489481152;8,184268532;5,463516764;4,346831855;6,408091549;6,297772506;6,198422516;10,01397501;4,086637402;5,966253316;5,466161704;6,429542138;6,571193273;8,853136915;0;5,390680729;2,259779274;-1,011062399;0,766984212;-0,939344862;-0,704360733;-1,268983685;0,858374651;0,371097123;-0,737788812;-1,280023679;0,043721272;1,236221536;0,032231482;-0,461925147;0,450225751;0,401407247;0,357442781;2,045905251;-0,577066682;0,254703012;0,033401924;0,459718089;0,522401705;1,532209905;-2,385489942
6;7,784459401;1,035975938;2,30954832;-0,652504742;-1,207361688;4,785635569;1,571016771;3,667644765;10,19927324;3,4213016;3,889134038;2,096820915;7,522896663;5,432930903;5,22507811;2,483502187;1,690881356;2,007434971;2,947815249;3,527175354;3,245343493;1,803905686;1,645153841;0;3,184710914;2,667339661;1,724470473;-0,805572312;-0,328103169;-1,43859281;-1,646611666;0,600195273;-0,604982622;0,181054501;2,629797182;0,088699122;0,264092022;-0,407855818;1,626409195;0,842869779;0,764944647;-0,262886927;-0,560044744;-0,44136709;-0,08881346;0,128391762;0,02273148;-0,517671314;-0,577188236;-1,193965268
7;5,572442229;0,477854847;-0,109758064;0,071536939;-0,541944315;5,728930227;0,56217705;3,00665392;3,595215346;0,3444393;0,9792748;-0,005895697;1,814402054;2,209158818;0,797332882;0,911515914;0,231664352;-0,318288527;-0,378733985;3,670877846;0,698280486;0,427114538;-0,352019105;0;1,224676327;1,817570896;2,392075;-0,410889876;-0,734185607;-0,63443984;-0,971967941;2,478172328;-0,364497076;0,980417103;1,304234692;-0,484293091;-0,135016206;-0,677042104;0,32445817;0,541647367;-0,235117896;-0,17229612;-0,54634016;-0,848915912;-0,882172088;1,345863055;-0,289615026;-0,438806426;-0,867473965;-0,673798381
8;5,538996295;2,462272435;3,951455795;0,64360526;-1,086754267;2,648493211;0,345271448;0,253018716;3,425226852;7,89848785;10,66308502;6,746660497;7,491752015;8,605317959;8,046351214;6,241697177;7,711160534;5,675824625;7,920215005;6,06696472;10,26570755;6,953251207;8,14246799;0;5,275438713;3,436939836;0,076683793;-0,818509026;-0,385221441;-1,34766207;-1,851121429;-0,76432688;-1,434464233;-1,461305765;-0,538331175;0,763193207;1,567570737;0,428061547;0,644850771;0,968850025;0,806215015;0,281139185;0,708689106;0,116494885;0,769514864;0,23029964;1,451951176;0,488170458;0,834180816;-1,534923206
9;0,692415595;1,043391865;2,549198152;3,861012996;0,83530539;2,301274643;2,810910174;-0,976748803;-0,54510056;5,48343522;7,138938042;2,10857976;1,892655517;4,474075801;1,455671654;5,491155002;5,750124552;4,542731945;6,108217328;6,154558846;7,409066783;3,363333726;5,428964266;0;3,307215329;2,480662918;-1,054072972;-0,912588102;-0,305570407;0,223245836;-0,996471516;-0,405512849;-0,200069567;-1,72694327;-1,552938072;0,87727352;1,544636591;-0,483191634;-0,570234594;0,470382519;-0,746390677;0,880385504;0,984780804;0,49805905;1,129134466;1,147815568;1,653530362;0,022622339;0,855315296;-1,333198197
10;0,085037195;-1,711658537;5,296608035;-6,026137617;-6,002992351;-1,636054313;-2,235046515;-2,472781922;1,384664426;4,663681708;6,439683938;1,591261552;2,044104302;4,902118812;-0,865352;1,816238813;0,246533079;3,558540392;6,888919973;1,471212947;4,252238119;4,382947175;3,667448297;0;1,322550646;3,539601223;-0,349619455;-0,857217803;1,122741557;-2,076134514;-2,069595566;-0,835858271;-1,005084171;-1,072248632;0,017548242;0,943928666;1,445680733;0,075915587;0,20385168;1,011291369;-0,618121226;0,139475646;-0,303994009;0,631706682;1,572597865;0,041999731;0,827688569;0,864616191;0,662475094;-0,373643968
