InterviewID;task;item;att1;cho
4057267;1;1;17;1
4057267;1;2;8;0
4057267;1;3;3;0
4057267;1;4;4;0
4057267;1;5;9;0
4057267;1;6;1;0
4057267;1;7;0;0
4057267;2;1;9;0
4057267;2;2;2;1
4057267;2;3;5;0
4057267;2;4;8;0
4057267;2;5;6;0
4057267;2;6;20;0
4057267;2;7;0;0
4057267;3;1;7;0
4057267;3;2;14;1
4057267;3;3;2;0
4057267;3;4;3;0
4057267;3;5;4;0
4057267;3;6;8;0
4057267;3;7;0;0
4057267;4;1;9;0
4057267;4;2;13;1
4057267;4;3;6;0
4057267;4;4;1;0
4057267;4;5;10;0
4057267;4;6;5;0
4057267;4;7;0;0
4057267;5;1;13;0
4057267;5;2;1;0
4057267;5;3;7;0
4057267;5;4;3;1
4057267;5;5;4;0
4057267;5;6;2;0
4057267;5;7;0;0
4057267;6;1;2;0
4057267;6;2;4;1
4057267;6;3;9;0
4057267;6;4;20;0
4057267;6;5;8;0
4057267;6;6;1;0
4057267;6;7;0;0
4057267;7;1;7;0
4057267;7;2;6;0
4057267;7;3;10;0
4057267;7;4;3;0
4057267;7;5;5;0
4057267;7;6;19;1
4057267;7;7;0;0
4057267;8;1;3;1
4057267;8;2;9;0
4057267;8;3;6;0
4057267;8;4;1;0
4057267;8;5;7;0
4057267;8;6;4;0
4057267;8;7;0;0
4057267;9;1;4;0
4057267;9;2;2;1
4057267;9;3;5;0
4057267;9;4;9;0
4057267;9;5;3;0
4057267;9;6;8;0
4057267;9;7;0;0
4057267;10;1;2;0
4057267;10;2;11;1
4057267;10;3;17;0
4057267;10;4;5;0
4057267;10;5;1;0
4057267;10;6;7;0
4057267;10;7;0;0
4057341;1;1;2;0
4057341;1;2;9;0
4057341;1;3;7;0
4057341;1;4;4;0
4057341;1;5;8;0
4057341;1;6;6;1
4057341;1;7;0;0
4057341;2;1;14;0
4057341;2;2;1;1
4057341;2;3;2;0
4057341;2;4;3;0
4057341;2;5;7;0
4057341;2;6;13;0
4057341;2;7;0;0
4057341;3;1;5;0
4057341;3;2;6;0
4057341;3;3;3;0
4057341;3;4;9;0
4057341;3;5;1;1
4057341;3;6;4;0
4057341;3;7;0;0
4057341;4;1;20;0
4057341;4;2;5;0
4057341;4;3;8;0
4057341;4;4;15;0
4057341;4;5;2;0
4057341;4;6;7;0
4057341;4;7;0;1
4057341;5;1;7;0
4057341;5;2;3;0
4057341;5;3;1;1
4057341;5;4;9;0
4057341;5;5;2;0
4057341;5;6;5;0
4057341;5;7;0;0
4057341;6;1;4;0
4057341;6;2;1;1
4057341;6;3;8;0
4057341;6;4;21;0
4057341;6;5;12;0
4057341;6;6;6;0
4057341;6;7;0;0
4057341;7;1;8;0
4057341;7;2;6;1
4057341;7;3;4;0
4057341;7;4;16;0
4057341;7;5;7;0
4057341;7;6;9;0
4057341;7;7;0;0
4057341;8;1;2;0
4057341;8;2;8;0
4057341;8;3;5;0
4057341;8;4;10;0
4057341;8;5;3;0
4057341;8;6;12;0
4057341;8;7;0;1
4057341;9;1;1;1
4057341;9;2;2;0
4057341;9;3;7;0
4057341;9;4;12;0
4057341;9;5;4;0
4057341;9;6;5;0
4057341;9;7;0;0
4057341;10;1;3;0
4057341;10;2;6;0
4057341;10;3;9;0
4057341;10;4;1;1
4057341;10;5;2;0
4057341;10;6;8;0
4057341;10;7;0;0
4057620;1;1;3;0
4057620;1;2;17;0
4057620;1;3;5;0
4057620;1;4;1;0
4057620;1;5;8;1
4057620;1;6;9;0
4057620;1;7;0;0
4057620;2;1;4;0
4057620;2;2;7;0
4057620;2;3;5;0
4057620;2;4;2;1
4057620;2;5;9;0
4057620;2;6;12;0
4057620;2;7;0;0
4057620;3;1;4;0
4057620;3;2;8;0
4057620;3;3;13;0
4057620;3;4;9;0
4057620;3;5;6;1
4057620;3;6;3;0
4057620;3;7;0;0
4057620;4;1;3;1
4057620;4;2;2;0
4057620;4;3;6;0
4057620;4;4;11;0
4057620;4;5;5;0
4057620;4;6;7;0
4057620;4;7;0;0
4057620;5;1;1;0
4057620;5;2;3;1
4057620;5;3;8;0
4057620;5;4;4;0
4057620;5;5;6;0
4057620;5;6;12;0
4057620;5;7;0;0
4057620;6;1;1;0
4057620;6;2;5;0
4057620;6;3;7;0
4057620;6;4;14;0
4057620;6;5;8;1
4057620;6;6;9;0
4057620;6;7;0;0
4057620;7;1;3;0
4057620;7;2;2;1
4057620;7;3;6;0
4057620;7;4;9;0
4057620;7;5;7;0
4057620;7;6;20;0
4057620;7;7;0;0
4057620;8;1;14;0
4057620;8;2;5;0
4057620;8;3;1;1
4057620;8;4;2;0
4057620;8;5;13;0
4057620;8;6;4;0
4057620;8;7;0;0
4057620;9;1;6;0
4057620;9;2;7;0
4057620;9;3;5;1
4057620;9;4;3;0
4057620;9;5;14;0
4057620;9;6;8;0
4057620;9;7;0;0
4057620;10;1;4;0
4057620;10;2;2;1
4057620;10;3;1;0
4057620;10;4;8;0
4057620;10;5;10;0
4057620;10;6;9;0
4057620;10;7;0;0
4057634;1;1;8;0
4057634;1;2;9;0
4057634;1;3;18;0
4057634;1;4;5;0
4057634;1;5;6;0
4057634;1;6;1;1
4057634;1;7;0;0
4057634;2;1;7;0
4057634;2;2;21;1
4057634;2;3;4;0
4057634;2;4;1;0
4057634;2;5;2;0
4057634;2;6;5;0
4057634;2;7;0;0
4057634;3;1;8;0
4057634;3;2;6;0
4057634;3;3;1;0
4057634;3;4;22;0
4057634;3;5;23;1
4057634;3;6;3;0
4057634;3;7;0;0
4057634;4;1;2;0
4057634;4;2;4;0
4057634;4;3;5;0
4057634;4;4;3;0
4057634;4;5;7;1
4057634;4;6;9;0
4057634;4;7;0;0
4057634;5;1;20;1
4057634;5;2;3;0
4057634;5;3;2;0
4057634;5;4;6;0
4057634;5;5;5;0
4057634;5;6;4;0
4057634;5;7;0;0
4057634;6;1;1;0
4057634;6;2;18;1
4057634;6;3;7;0
