InterviewID;task;item;att1;cho
4057267;1;1;6;0
4057267;1;2;11;0
4057267;1;3;15;0
4057267;1;4;5;0
4057267;1;5;3;1
4057267;1;6;2;-1
4057267;2;1;14;-1
4057267;2;2;11;0
4057267;2;3;8;0
4057267;2;4;13;1
4057267;2;5;5;0
4057267;2;6;4;0
4057267;3;1;9;0
4057267;3;2;6;0
4057267;3;3;10;0
4057267;3;4;3;1
4057267;3;5;1;0
4057267;3;6;2;-1
4057267;4;1;14;-1
4057267;4;2;12;0
4057267;4;3;9;0
4057267;4;4;7;0
4057267;4;5;2;1
4057267;4;6;15;0
4057267;5;1;11;0
4057267;5;2;8;0
4057267;5;3;15;0
4057267;5;4;3;1
4057267;5;5;13;0
4057267;5;6;12;-1
4057267;6;1;7;0
4057267;6;2;6;0
4057267;6;3;10;1
4057267;6;4;4;0
4057267;6;5;1;-1
4057267;6;6;5;0
4057267;7;1;6;0
4057267;7;2;7;0
4057267;7;3;15;-1
4057267;7;4;11;0
4057267;7;5;8;1
4057267;7;6;5;0
4057267;8;1;9;0
4057267;8;2;14;-1
4057267;8;3;1;0
4057267;8;4;12;0
4057267;8;5;2;0
4057267;8;6;3;1
4057341;1;1;12;0
4057341;1;2;15;-1
4057341;1;3;4;0
4057341;1;4;10;0
4057341;1;5;5;1
4057341;1;6;6;0
4057341;2;1;9;0
4057341;2;2;1;0
4057341;2;3;13;0
4057341;2;4;7;-1
4057341;2;5;14;1
4057341;2;6;2;0
4057341;3;1;12;0
4057341;3;2;1;1
4057341;3;3;11;0
4057341;3;4;13;-1
4057341;3;5;3;0
4057341;3;6;8;0
4057341;4;1;7;-1
4057341;4;2;3;0
4057341;4;3;14;1
4057341;4;4;9;0
4057341;4;5;10;0
4057341;4;6;15;0
4057341;5;1;11;1
4057341;5;2;6;0
4057341;5;3;5;0
4057341;5;4;4;0
4057341;5;5;8;-1
4057341;5;6;2;0
4057341;6;1;4;0
4057341;6;2;15;-1
4057341;6;3;12;0
4057341;6;4;8;0
4057341;6;5;6;0
4057341;6;6;14;1
4057341;7;1;1;1
4057341;7;2;10;0
4057341;7;3;5;0
4057341;7;4;3;0
4057341;7;5;9;-1
4057341;7;6;13;0
4057341;8;1;11;0
4057341;8;2;2;0
4057341;8;3;3;0
4057341;8;4;1;1
4057341;8;5;13;0
4057341;8;6;7;-1
4057620;1;1;9;0
4057620;1;2;11;0
4057620;1;3;13;0
4057620;1;4;4;0
4057620;1;5;6;1
4057620;1;6;15;-1
4057620;2;1;8;0
4057620;2;2;2;0
4057620;2;3;14;-1
4057620;2;4;1;0
4057620;2;5;5;1
4057620;2;6;3;0
4057620;3;1;4;0
4057620;3;2;12;0
4057620;3;3;7;0
4057620;3;4;9;0
4057620;3;5;10;1
4057620;3;6;15;-1
4057620;4;1;11;0
4057620;4;2;12;0
4057620;4;3;14;-1
4057620;4;4;8;0
4057620;4;5;10;1
4057620;4;6;6;0
4057620;5;1;1;0
4057620;5;2;2;0
4057620;5;3;7;0
4057620;5;4;3;-1
4057620;5;5;13;1
4057620;5;6;5;0
4057620;6;1;6;1
4057620;6;2;15;0
4057620;6;3;8;0
4057620;6;4;2;-1
4057620;6;5;13;0
4057620;6;6;4;0
4057620;7;1;9;0
4057620;7;2;5;1
4057620;7;3;7;0
4057620;7;4;3;-1
4057620;7;5;11;0
4057620;7;6;1;0
4057620;8;1;12;0
4057620;8;2;8;0
4057620;8;3;3;-1
4057620;8;4;14;0
4057620;8;5;10;1
4057620;8;6;1;0
4057634;1;1;9;-1
4057634;1;2;14;0
4057634;1;3;5;1
4057634;1;4;6;0
4057634;1;5;2;0
4057634;1;6;12;0
4057634;2;1;4;0
4057634;2;2;10;1
4057634;2;3;3;0
4057634;2;4;1;0
4057634;2;5;8;-1
4057634;2;6;11;0
4057634;3;1;14;0
4057634;3;2;9;-1
4057634;3;3;13;0
4057634;3;4;6;0
4057634;3;5;15;1
4057634;3;6;5;0
4057634;4;1;3;0
4057634;4;2;4;0
4057634;4;3;2;1
4057634;4;4;10;0
4057634;4;5;1;0
4057634;4;6;7;-1
4057634;5;1;14;0
4057634;5;2;6;-1
4057634;5;3;11;1
4057634;5;4;3;0
4057634;5;5;12;0
4057634;5;6;8;0
4057634;6;1;9;-1
4057634;6;2;8;0
4057634;6;3;10;0
4057634;6;4;12;0
4057634;6;5;11;0
4057634;6;6;4;1
4057634;7;1;7;0
4057634;7;2;5;0
4057634;7;3;1;0
4057634;7;4;2;0
4057634;7;5;15;1
4057634;7;6;13;-1
4057634;8;1;14;1
4057634;8;2;7;0
