InterviewID,turfList,mxdf@1,w
4432993,17,6,.996073354890837
4433016,26,19,.911520833159494
4433017,15,24,.95464430733801
4433022,24,16,.959403392747257
4433029,8,1,.813335161922596
4433033,24,30,.817389794074257
4433046,12,23,.817389794074257
4433067,3,14,.95464430733801
4433087,19,1,.836413974742101
4433105,27,10,2.22122596473089
4433111,18,2,.95464430733801
4433112,28,12,.817389794074257
4433125,8,11,1.23991567609217
4433142,5,11,.891115389867773
4433198,6,9,2.77877403526515
4433250,22,18,.817389794074257
4433325,16,28,.911520833159494
4433353,23,25,1.23991567609217
4433465,1,29,.959403392747257
4433514,9,22,.959403392747257
4433519,29,5,.514109949564975
4433537,9,15,.95464430733801
4433646,11,3,.813335161922596
4433802,13,26,.817389794074257
4433833,23,20,.911520833159494
4433844,7,26,.991132369476739
4433861,21,17,.813335161922596
4433877,2,13,1.18390583951692
4433883,10,27,.996073354890837
4433917,4,8,.813335161922596
4434941,25,7,1.23991567609217
4434952,14,25,.813335161922596
4435005,30,25,.42188481776274
4435187,20,21,.805621795993865
4435218,14,4,.991132369476739
4435243,14,4,.95464430733801
4435306,17,25,.817389794074257
4435324,5,2,.836413974742101
4435332,6,17,.996073354890837
4435343,6,23,.991132369476739
4435365,27,19,.813335161922596
4435518,23,27,.776594946133272
4435611,18,15,.817389794074257
4435697,15,15,.95464430733801
4435722,22,28,.95464430733801
4435760,11,7,1.23991567609217
4436000,28,30,.514109949564975
4436106,7,24,.813335161922596
4436219,1,27,.817389794074257
4436615,19,3,.95464430733801
4436649,3,21,.42188481776274
4436903,4,22,.996073354890837
4436921,25,18,1.24609689412011
4436933,21,8,.991132369476739
4436955,20,20,.813335161922596
4437068,12,9,.95464430733801
4437476,10,6,.996073354890837
4437677,26,10,1.23991567609217
4437685,13,10,.813335161922596
4437842,29,13,.836413974742101
4437957,2,12,.959403392747257
4438113,30,14,.95464430733801
4438284,16,5,.813335161922596
4438327,5,16,.813335161922596
4438504,28,29,.491253279147405
4438759,14,20,1.24609689412011
4438761,27,23,.817389794074257
4438771,25,12,.403128358678571
4438775,4,2,.403128358678571
4438787,21,21,.42188481776274
4438839,16,23,.776594946133272
4438845,23,30,.95464430733801
4438872,30,14,1.23991567609217
4438902,9,13,1.24609689412011
4438932,12,19,.959403392747257
4438937,22,19,.95464430733801
4438939,24,6,.813335161922596
4438992,7,17,.95464430733801
4439076,19,7,.996073354890837
4439119,26,4,.817389794074257
4439142,13,8,.95464430733801
4439150,29,18,.813335161922596
4439163,15,29,.95464430733801
4439179,2,16,.95464430733801
4439203,17,28,.959403392747257
4439207,10,24,.686371383411018
4439230,8,9,.813335161922596
4439234,8,29,.813335161922596
4439261,1,1,.911520833159494
4439263,3,9,.42188481776274
4439268,18,3,.491253279147405
4439291,18,3,.679899198545418
4439349,20,22,.959403392747257
4439353,20,22,1.23991567609217
4439362,20,18,.813335161922596
4439366,11,22,.95464430733801
4439405,11,5,.991132369476739
4439408,11,25,1.23991567609217
4439416,29,26,.798025131387139
4439424,29,11,.817389794074257
4439453,2,11,1.24609689412011
4439994,15,25,1.24609689412011
4439995,25,18,.828526953226433
4440045,26,25,.946360645794854
4440199,28,17,.946360645794854
4440255,21,14,.817389794074257
4440280,27,30,.996073354890837
4440288,22,21,1.18390583951692
4440394,14,13,.959403392747257
4440487,17,16,.996073354890837
4440610,4,6,.95464430733801
4440617,12,8,1.23991567609217
4440626,24,5,.813335161922596
4440705,7,2,.614562353632067
4440890,9,20,.991132369476739
4440892,10,1,.95464430733801
4440961,23,20,1.24609689412011
