InterviewID;task;item;att1;att_none;cho
4057267;1;1;17;0;1
4057267;1;2;8;0;0
4057267;1;3;3;0;0
4057267;1;4;4;0;0
4057267;1;5;9;0;0
4057267;1;6;1;0;0
4057267;1;7;0;1;0
4057267;2;1;9;0;0
4057267;2;2;2;0;1
4057267;2;3;5;0;0
4057267;2;4;8;0;0
4057267;2;5;6;0;0
4057267;2;6;20;0;0
4057267;2;7;0;1;0
4057267;3;1;7;0;0
4057267;3;2;14;0;1
4057267;3;3;2;0;0
4057267;3;4;3;0;0
4057267;3;5;4;0;0
4057267;3;6;8;0;0
4057267;3;7;0;1;0
4057267;4;1;9;0;0
4057267;4;2;13;0;1
4057267;4;3;6;0;0
4057267;4;4;1;0;0
4057267;4;5;10;0;0
4057267;4;6;5;0;0
4057267;4;7;0;1;0
4057267;5;1;13;0;0
4057267;5;2;1;0;0
4057267;5;3;7;0;0
4057267;5;4;3;0;1
4057267;5;5;4;0;0
4057267;5;6;2;0;0
4057267;5;7;0;1;0
4057267;6;1;2;0;0
4057267;6;2;4;0;1
4057267;6;3;9;0;0
4057267;6;4;20;0;0
4057267;6;5;8;0;0
4057267;6;6;1;0;0
4057267;6;7;0;1;0
4057267;7;1;7;0;0
4057267;7;2;6;0;0
4057267;7;3;10;0;0
4057267;7;4;3;0;0
4057267;7;5;5;0;0
4057267;7;6;19;0;1
4057267;7;7;0;1;0
4057267;8;1;3;0;1
4057267;8;2;9;0;0
4057267;8;3;6;0;0
4057267;8;4;1;0;0
4057267;8;5;7;0;0
4057267;8;6;4;0;0
4057267;8;7;0;1;0
4057267;9;1;4;0;0
4057267;9;2;2;0;1
4057267;9;3;5;0;0
4057267;9;4;9;0;0
4057267;9;5;3;0;0
4057267;9;6;8;0;0
4057267;9;7;0;1;0
4057267;10;1;2;0;0
4057267;10;2;11;0;1
4057267;10;3;17;0;0
4057267;10;4;5;0;0
4057267;10;5;1;0;0
4057267;10;6;7;0;0
4057267;10;7;0;1;0
4057267;11;1;14;0;0
4057267;11;2;19;0;0
4057267;11;3;23;0;0
4057267;11;4;13;0;0
